question,option_a,option_b,option_c,option_d,answer,hint,srno
"In exceptional and urgent cases, such as urgent silt – clearance of canals or closing breaches, where labourers are employed casually for short periods, payments may be made on",Casual Labour Roll CPWA 22,Muster Roll CPWA 21,Labour Requisition CPWA 30,Hand Receipt CPWA 28,A,(10.2.4_h),27.
Incorrect one with regard to Casual Labour Roll Form CPWA 22,In Casual Labour Roll CPWA 22 the names of the labourers shall be given,Payments on CPWA 22 may not be made except by a gazetted officer.,"Muster rolls in Form 21 need not be used in the case of work done on Requisition, Form CPWA 32","When entries of daily labour are few, in such cases the particulars can be entered on the Form of Requisition.",A,(10.2.4_h) in this case name need not be specified,28.
"State whether true or false In the case of urgent repair of canal breaches, this method of payment is not practicable, it is permissible to pay the contractor on the basis of the numbers of labourers employed, day by day, his own profit or commission being either included in the rates allowed, or paid separately in lump sum or at a percentage rate.",True,False,,,A,(10.2.5),28A.
When payment is made on basis of labour employed by the contract a report of the numbers of labourers of each class employed day by day should be made daily by the official in-charge of the work to,Contractor,SDO,DO,Divisional Accountant,B,(10.2.5),29.
"When it is necessary to bring labourers and artificers from a distance they may be allowed wages for the number of days occupied in the journey to and from the site of the work, if they join the work with proper despatch. The payment of traveling expenses is",Mandatory,At discretion of DO,Only after approval of PAO,Only after approval of SE,B,(10.2.6),30.
Wages and traveling expenses paid to labourers and artificers from brought a distance shall be borne by,Contingency,Direction & Administration,Special Contingency,Estimate of the work.,D,(10.2.6),31.
Payments for a work done otherwise than by daily labour and for all supplies required for specific works may be are made without the basis of measurements recorded in measurement books with the approval of,"Administrative Ministry/Department after consultation with the Chief Controller of Accounts,",Chief Controller of Accounts after consultation with the Administrative Ministry/Department,Administrative Ministry/Department after consultation with the Controller General of Accounts,Divisional Officer after consultation with Pay and Accounts Officer,A,(10.2.7),32.
Measurement Book is maintained in Form,CPWA 21,CPWA 22,CPWA 23,CPWA 24,C,(10.2.7),33.
All the measurement books belonging to a division should be numbered serially and a register of them should be maintained in Form,CPWA 23A,CPWA 90,CPWA 91,CPWA 92,D,(10.2.7),34.
Form CPWA 92 is maintained,in SD Office,in Office of Executive in charge of work,in Divisional Office,At-site of work,C,(10.2.7),35.
State whether true or false A register similar to CPWA 92 should also be maintained in the Sub-divisional office showing the names of the Sub-divisional Officer and Sectional Officers to whom measurement books are issued.,True,False,,,A,(Note below 10.2.7),36.
"Pick the correct one (i) detailed measurements should be recorded only by Executive Engineer, Assistant Executive Engineer or Assistant Engineers, or by the executive subordinates in charge of works to whom measurement books have been supplied for the purpose. (ii) All items of work in a project, irrespective of their cost, shall be measured and recorded by the Officer-in-charge of the work, not lower than the rank of J.E. It is, however, open to the rank of Sub-Divisional Officer to record measurements for any particular item of work himself. (iii) The Officer accepting the tender for any work may stipulate and require the Assistant Executive Engineer/Assistant Engineer to record measurements himself or exercise 100% check on the measurements recorded by his subordinate (iv) All measurements should be recorded neatly and directly in a measurement book, in the office of Sub-Divisional Officer and nowhere else.","i, ii and iii","ii, iii and iv","I, iii and iv",All of the above,A,(10.2.8_a to d)MB is written at site of work,37.
Pick the incorrect one regarding Measurement Book,The pages of the book should be machine numbered.,"Entries should be recorded continuously, and no blank pages left or page torn out.",Any pages left blank should be cancelled by a cross covering the entire page,The cancellation should be attested and dated.,C,(10.2.8_h) Cancellation by a diagonal line,38.
Find the incorrect one regarding entries in Measurement Book,The entries should be made in ink only and no entry may be erased.,Correction may be made by crossing out the incorrect words or figures and inserting the corrections,"When any measurements are cancelled, the cancellation must be supported by the dated initials of the officer ordering the cancellation or by a reference to his orders initialed by the officer who made the measurements, the reasons for cancellation being also recorded.",Though a reliable record it may not to be produced as evidence in a Court of Law.,D,(10.2.8_i),39.
"Pick the incorrect one regarding Measurement Book (i) On completion of the abstract, the Measurement book should be submitted to the Sub-divisional Officer (ii) SDO after carrying out the required test check should enter the word “Check and Bill” with his dated initials. (iii) The Sub-divisional Clerk should then check the calculation of quantities in the abstract and the bill and should then place the Measurement Book and the bill before the divisional Officer (iv) DO after comparing the two, should sign the bill and the Measurement Book at the end of the abstract.","i, and ii","i, ii and iii","i, iii and iv",All of the above,A,(10.2.8_j) submission to SDO and sign by him not DO,40.
Pick the incorrect one regarding Measurement Book,"Any corrections to calculations or rates made in the Sub-divisional, as well as, in Divisional Office including correction made by the clerical staff should be made in red ink","All correction should be brought to notice of the Sub-Divisional Officer or the Divisional Officer, as the case may be, and of the person recording the original measurements.",Payment should be deferred until the corrections have been accepted by the person making the measurements.,Each measurement book should be provided with an index which should be kept up-to-date.,C,(10.2.8_k) Deferment of payment in case of final bill and not in case of any bill.,41.
Before passing a bill for payment and submitting it to the Divisional Officer for payment who should satisfy oneself that the work or supply billed for has actually been carried out/completed in accordance with the claim preferred?,SDO,Executive in-charge of work,Divisional Accountant,DO,A,(10.2.9),42.
Standard measurement books of buildings are maintained in order to,Relieve from taking detailed measurement at each occasion,Facilitate preparation of budgetary estimate for addition and alteration,Facilitate preparation of contractor ledger,Preparation of estimates for periodical repairs and contractor’s bill for such repair.,D,(10.2.10),43.
Subsidiary instructions with respect to Standard Measurement book as may be laid down by,Government in consultation with CGA,CAG in consultation with Government,Administrative Ministry/Administration concerned in consultation with the Chief Controller of Accounts,Administrative Ministry/Administration concerned in consultation with the Controller General of Accounts,C,(10.2.10),44.
The measurement books used as standard books should be numbered in,A numerical series,An alphabetical series,An alpha-numerical series,At the discretion of the division,B,(10.2.10_i),45.
Pick the correct regarding the Standard Measurement Books should be written by the (i) S.D.O (ii) Executive subordinate in-charge under SDO’s orders (iii) Divisional Officer (iv) Any gazetted officer,i and ii,iii and iv,"i, ii and iii",All of the above,A,(10.2.10_ii),46.
"Fill in the blanks Each set of measurements taken by the executive subordinate in-charge should, however, be fully checked by the_______ after which it should be examined by the__________","SDO, Divisional Accountant","SDO, Divisional Officer","Divisional Accountant, Divisional Officer","Divisional Officer, Divisional Accountant",B,(10.2.10_ii),47.
Who should declare in writing in the Standard Measurement book itself as finally approved by him for the purposes of preparing annual repair estimates and contractors’ bills for the work done?,Officer taking the Measurement,SDO,Divisional Officer,Superintendent Engineer,C,(10.2.10_ii),48.
The Standard Measurement book will not be assigned a number and will not be entered in the Register of Standard Measurement Books until,Payment to contractor has been made,Certificate by DO is recorded,Approval of SE is received,Work has been completed,B,(10.2.10_ii),49.
The Standard Measurement Books will be brought up-to-date under the supervision of,Officer taking the Measurement,SDO,Divisional Officer,Superintendent Engineer,B,(10.2.10_ii),50.
The Standard Measurement Books will be brought up-to-date with reference to the building or work concerned within,one month of closing of the accounts of the estimate therefor,Two months of closing of the accounts of the estimate therefor,Three months of closing of the accounts of the estimate therefor,Six months of closing of the accounts of the estimate therefor,A,(10.2.10_ii),51.
"The Divisional Officer, to the effect that all the standard books of the division have been inspected by him, that entries therein have not been tampered with and that all corrections due to additions and alterations in the buildings have been made in the books and the latter are reliable and upto date records, should certify",Daily,Monthly,Annually,Periodically,D,(10.2.10_iii),52.
"When a payment is based on standard measurements, who is required to certify the bill for payment that the whole of the work, (or work since previous running bill, as the case may be) as per standard measurements has been done and that it has not previously been billed for in any shape?",Divisional Accountant,DO,Gazetted officer or subordinate preparing the bill,All of the above,C,(10.2.10_iv),53.
The entries recorded in each completed measurement books may be subjected to a percentage check by the Divisional Accountant under the supervision of the,SDO,Officer taken the measurement,DO,PAO,C,(10.2.11),54.
Pick incorrect regarding authorized forms of bills and vouchers -,"First and final Bill, Form CPWA 24",Running Account Bill Form CPWA 26,"Hand Receipt, Form CPWA 28",Contractor Ledger Form CPWA 43,D,(10.2.12),55.
"When a single payment is made for a job or contract on its completion, the form used for payment is",CPWA 24,CPWA 26,CPWA 27,CPWA 28,A,(10.2.12),56.
The form used for all running payments to contractors and suppliers other than those relating to lump sum contracts is,CPWA 24,CPWA 26,CPWA 27,CPWA 28,B,(10.2.12),57.
The form used for all final and running payments to those relating to lump sum contracts is,CPWA 26A and 26 B,CPWA 26 and 27,CPWA 27A and 27 B,CPWA 27 and 28,C,(10.2.12),58.
"A simple form of voucher intended to be used for all miscellaneous payments and advances, for which the special Forms CPWA 24 and 26 are not suitable.",CPWA 28,CPWA 29,GAR 24,GAR 43,A,(10.2.12),59.
The claim for refund of lapsed deposit should be preferred in Form,CPWA 46,GAR 46,CPWA 49,GAR 49,B,(10.2.12),60.
"Payment to supplier for supply of store on production of a Railway Receipt, the payment will be treated",Final Payment,Advance payment,Running account,Secured advance,B,(Note 2 below 10.2.16),61.
"As a general rule, payment for supplies is not permissible until the stores have been received and surveyed. However, on production of a Railway Receipt payment may be made only with the permission",SE,PAO,Government,Administrative Ministry/Deptt. Concerned,D,(Note 2 below 10.2.16),62.
"Advance payment to firms for supply of stores, should be debited to",Suspense Account “Contractors-other Transactions,Work concerned,Functional Revenue Head,Contingency,A,(Note 2 below 10.2.16),63.
"Before signing and submission of the bill to Divisional Officer for check and payment, who should compare the quantities in the bill with those recorded in the measurement book and see that all the rates are correctly entered and that calculations have been checked arithmetically?",SDO,Divisional Accountant,Sub-ordinate in-charge of work,Accounts Clerk,A,(10.2.17),64.
"Pick the correct one in respect of Measurement Book (i) From the measurement book all quantities should be clearly traceable into the documents on which payments are made (ii) When a bill is prepared for the work or supplies measured, every page containing the detailed measurements must be invariably scored out by a diagonal red ink line (iii) When the payment is made an endorsement must be made in red ink, on the abstract of measurements, giving a reference to the number and date of the voucher of payment (iv) The document on which payment is made should invariably show the number and page of the measurement book in which the detailed measurements are recorded and the date on which the measurement was made.","i, ii and iii","ii, iii and iv","i, iii and iv",All of the above,D,(10.2.18),65.
Payments for work done or supplies made on a running account should ordinarily be made,daily,weekly,monthly,As & when desired,C,(10.2.19_a),66.
Each distinct item of work or supply should be shown separately in the contractors’/suppliers’ bill in terms of,Quantities,Value,Either of a or b,Both a & b,D,(10.2.19_a),67.
State whether true or false In the case of advance payments both quantities and value of work or supply made need to be specified on bill.,True,False,,,B,(10.2.19_a) In case of Adv. Payments only value and not quantity to be specified.,68.
"When a final payment is made on a running account, who should add in his own hand writing that the payment is “in full and final settlement of all demands”",Contractor/supplier,SDO,Divisional Accountant,DO,A,(10.2.19_b),69.
"State whether true or false Once the addition of “in full and final settlement of all demands” on the bill, no claim should be entertained subsequently under any circumstances.",True,False,,,B,(Note 1 below 10.2.19_b) Bonafide claims may be entertained.,70.
In case a contractor objects to the addition of the Words “in full and final settlement of all demands” the payment should be,rendered with some conditions,rendered unconditionally,deferred till addition,payment already made is recovered.,B,(Note 1 below 10.2.19_b),71.
"Pick the correct one (i) A separate running account is maintained in respect of each contract. (ii) Transactions relating to two or more separate working estimates should not be brought on to the same running account and should not be covered by a single contract. (iii) In exceptional cases where more than one working estimate is covered by a single contract, the contract agreement need not be split up but the estimates should be consolidated to facilitate the maintenance of proper accounts in respect of that contract. (iv) Some special accounts procedure in this regards will be devised on the merits of each case by the Controller General of Accounts.","i, ii and iii","ii, iii and iv","i, iii and iv",All of the above,A,(10.2.19_c and note below it) It is Chief Controller of Accounts and not CGA.,72.
Secured advances is allowed to a contract whose contract is for,on labour only,lump-sum,finished work,Any of the above,C,(10.2.20),73.
Secured advances is allowed by,SDO,Divisional Accountant,DO,Executive in-charge of work,C,(10.2.20),74.
"When secured advances are allowed by the Divisional Officer to the contractor, the contractor should sign an Indenture in Form",CPWA 30,CPWA 31,CPWA 32,CPWA 33,B,(10.2.20),75.
"A detailed account of the secured advances, which should be attached to the Running Account bill, must be kept in Form",CPWA 26,CPWA 26-A,CPWA 27,CPWA 26-A,B,(10.2.20),76.
The certificate printed on Form CPWA 26-A should be signed by,Executive-in-charge of work,DA,SDO/DO,Contractor/Supplier,C,(Note below 10.2.20),77.
State whether true or false A record of the quantities of the materials for which a Secured Advance is allowed should be kept in Measurement Books,True,False,,,B,(Note below 10.2.20),78.
"Pick the correct one regarding Secured Advance (i) Allowed to a contractor, whose contract is for finished work, on the security of materials brought to site. (ii) Divisional Officers may sanction advances upto an amount not exceeding 75/90 per cent of the value as assessed by the Engineer-in-charge or an amount not exceeding 75/90 of the material element cost in the tendered rate of the finished item of work whichever is lower (iii) Material should be of an imperishable nature (iv) No formal agreement should be drawn up with the contractor.","i, ii and iii","ii, iii and iv","i, iii and iv",All of the above,A,(10.2.22_a),79.
Who assesses the value of material brought on site by the contractor for allowing secured advance?,Executive-in-charge of work,SDO,DO,SE,A,(10.2.22_a),80.
"Pick the correct one regarding Secured Advance (i) A formal agreement should be drawn up with the contractor under which Government secures a lien on the materials (ii) Expense entailed for proper watch and safe custody of material brought on site is borne by the Division (iii) Payment of such advances should be made only on the certificate of an officer not below the rank of Divisional Officer (iv) A certificate by the Divisional Officer should be given to the effect that the quantities of materials upon which the advances are made have actually been brought to site, that the contractor has not previously received any advance on that security and that all the materials are required by the contractor for use on items of work for which rate for finished work have been agreed upon",i only,i and iii,"ii, iii and iv",All of the above,A,"(10.2.22_a) ii-by contractor, iii- not below SDO and iv-certificate by SDO",81.
Who shall be held personally responsible for any over-payment/irregular payment on account of payment of secured advance to contractor?,SDO officer,DO,Divisional Accountant,granting certificate about material,D,(10.2.22_a),82
Pick the correct one regarding Mobilisation advance (i) It may be granted in respect of certain specialized and capital intensive works costing not less than Rupees two crore (ii) Such advances should not be more than 10% of the tendered value or Rs. 1 crore whichever is less (iii) Such advances termed as Mobilisation advance shall bear simple interest at the rate of 10% per annum to be calculated from the date of payment to the date of recovery (both days exclusive) on the outstanding amount of advance. (iv) Mobilisation advance should be classified to the respective work and so recovery of interest shall be classified to respective work (minus debit),i and ii,"i, ii and iii","ii, iii and iv",All of the above,A,"(10.2.22_b) iii-both days inclusive, iv interest to 0049 and not to outlay of work",83.
"Who has full powers to make advance payments to electric supply undertakings under the Indian Electricity Act, 1910 for execution of works?",SDO,DO,DG (Works),Government of India,B,(Note below 10.2.22_b),84.
An advance payment for work actually executed but not measured may be made with the previous sanction of the,DO,S.E.,Divisional Accountant,PAO,B,(10.2.23),85.
Sanction of the competent authority for granting advance payment for work actually executed but not measured shall be obtained on certificate rendered by an officer not below the rank of,SDO,DO,Executive in-charge,Disbursing officer,A,(10.2.23),86.
"Advance payments should be made at predetermined levels, which may be indicated in the sanctioned estimates, in respect of works pertaining to",Takavi,Buildings,Road & Bridges,Irrigation,B,(Note below 10.2.23),87.
"Normally measurements of such items of works for which advance payments have been allowed, may be taken in",same month,alternate month,both a & b,before completion of the contract,B,(Note below 10.2.23),88.
Detailed instructions on the provisions of advance payment to contractor may be laid down by,Administrative Ministry/Administration concerned in consultation with the Chief Controller of Accounts.,Administrative Ministry/Administration concerned in consultation with the Controller General of Accounts.,Administrative Ministry/Administration concerned in consultation with the Controller and Auditor General of India,Controller and Auditor General of India in consultation with the Administrative Ministry/Administration.,A,(Note below 10.2.23),89.
When an advance payment has been allowed detailed measurement should be conducted at most within,Same month,one month,two months,three months,C,(Note below 10.2.23),90.
Pick the incorrect one,Advance payment made shall be adjusted within three months from the date on which it was made,Extension of this period by Director General (Works)/Chief Engineer,"If extended adjusted with four months in respect of advances upto Rs.50,000 and twelve months in respect of advances exceeding Rs.50,000 but not exceeding Rs. One lakh.",Any extension of the period of adjustment beyond the above limits and beyond three Months in the case of an advance exceeding Rs. One lakh will require the previous Sanction of the Government of India.,C,(Note below 10.2.23) ii- for 50000-10000 it is 6 month and not 12 months.,91.
Fill in the blanks ______________ should submit a statement for the information of ___________the concerned giving details of advances made to contractors for work done but not measured so that clearance may be watched.,"SDO, DO","DO, SE","DA, SE","SE, DG (Works)",B,(last para of Note below 10.2.23),92.
The above statement shall be submitted,Weekly,Monthly,Quarterly,Annually,B,(Note below 10.2.23),93.
The Pay and Allowances of work charged Establishment borne on regular establishment will be charged under,Work concerned,Contingency,Functional Budgeted Salary Head of Account,Special Contingency,C,(10.2.25),94.
Wages of members of the work-charged establishment should be drawn and paid on Form,CPWA 28,CPWA 29,CPWA 28A,CPWA 29A,B,(10.2.26),95.
Form CPWA 29 is a,Pay bill,Acquittance Roll,Both a & b combined,Statement,C,(10.2.26),96.
A consolidated bill in this Form CPWA 29 should be prepared either for the whole sub-division or for one or more sections of it,Daily,Weekly,Fortnightly,Monthly,D,(10.2.26),97.
"State whether true or false A consolidated bill in this Form CPWA 29 should be prepared monthly either for the whole sub-division or for one or more sections of it, as may be convenient, but the names and claims of the entire establishment concerned excluding absentees, should be shown in each bill.",True,False,,,B,(10.2.26) including not excluding absentees,98.
"If the acknowledgement of an individual cannot conveniently be obtained on the bill itself, it may be obtained separately in Form",GAR 24,CPWA 24,GAR 28,CPWA 28,D,(Note below 10.2.26),99.
Pay bills for Work Charges Establishment may be signed at any time before the last working day of the calendar month but not earlier than,three days,five days,seven days,10 days,B,(10.2.27),100.
"In the case of work-charged staff attached to Sub-Divisions located away from the Headquarters of the Divisional Office, monthly pay bills may be signed not earlier than the",25th of the month,20th of the month,15th of the month,10th of the month,C,(10.2.27),101.
Wages remaining unpaid on a passed bill should be entered in,a simple register,CPWA 21A duly modified,Both,neither,C,(10.2.28_a),102.
TA Bills in respect of members of the work-charged establishment whose traveling allowance is determined with reference to the provisions in Supplementary Rules should be prepared in Form,CPWA 28,GAR 28,CPWA 14A,GAR 14A,D,(Note below 10.2.29),103.
TA Bills in respect of members of the work-charged establishment whose traveling allowance is not determined with reference to the provisions in Supplementary Rules should be prepared in Form,CPWA 28,GAR 28,CPWA 14A,GAR 14A,A,(10.2.29),104.
Form CPWA 28 when used for payment of traveling expenses to the member work charged establishment it should be countersigned prior to payment by the,SDO,DA,DO,SE,C,(10.2.29),105.
Every payment made to a member of the work-charged establishment other than those are regular whether on account of his wages or in recoupment of actual traveling expenses should be debited to the,Work concerned,Contingency,Functional Budgeted Salary Head of Account,Special Contingency,A,(10.2.30),106.
"Issues of materials to works, whether from stock or by purchase transfer or manufacture are divided into two classes",Final & Suspense,Government & Non-Government,Construction and maintenance,Contractor and direct to work,D,(10.3.1),107.
"State whether true or false In case of contract for finished items of the work, the contractor should be held responsible for obtaining from Government all such materials required for the work and for making payment therefore, by deduction from his bills at the rates specified regardless of fluctuation in the market rates or in the stock rates of the division.",True,False,,,A,(10.3.2_b_1),108.
Pick the incorrect one,No carriage or incidental charges are borne by Government for moving the materials beyond the place where the contractor has agreed to take delivery thereof.,Where the contract is not for finished item of works the material should not be issued except with the express authority of the Chief Engineer who should specify in each case the rate to be charged for the materials inclusive of delivery at the place where they are stored.,Divisional Officer should elucidate the circumstances and should also add his recommendations to competent authority in respect of the recovery rates for such materials.,No carriage or incidental charges should be borne by Government in connection with the supply.,B,(10.3.3_a) On the express authority of SE and not of CE.,109.
The rate charged for the supply of material to contractor not on finished items of works should be as provided in the analysis of rate for the item of work on which it would be used plus or minus the percentage above or below the,Schedule rate allowed to the Contractor or market rate or stock issue rate plus storage charges whichever is highest.,Schedule rate allowed to the Contractor or market rate or stock issue rate plus storage charges whichever is lowest.,"Average of Schedule rate allowed to the Contractor, market rate and stock issue rate plus storage charges.",Market rate or Issue rate whichever is the higher,A,(10.3.3_a),110.
"State whether true or false In case of non-scheduled rate item, while working out the Analysis of Rate, the rate available on the DGS&D Rate contract should be adopted for working out the Analysis of Rate or alternatively the current market rate at that specific period should be ascertained and adopted.",True,False,,,A,(10.3.3_a),111.
"If in any case the materials, the supply of which is stipulated in the contract do not become available in time for supply to the contractor, the DO may",deferred the work till it becomes available,ask the contractor to arrange the material himself and charge,arrange from any source and supply to the contractor at the cost incurred,arrange from any source and supply to the contractor at the stipulated rate.,D,(10.3.3_b),112.
Supervision and contingencies charges on account of issue of stock materials to contractors for bonafide use on works is,5%,7 ½%,10%,NIL,D,(10.3.3_c),113.
Supervision and contingencies charges on account of sale of stock materials to contractors and public shall be,5%,7 ½%,10%,NIL,C,(10.3.3_c),114.
Pick the incorrect one,All materials required for issue to a contractor should be made over to him on a regulated scale and restricted to actual and immediate requirement,"A stamped and dated acknowledgement, detailing full particulars of the materials including the rates and values chargeable to him, should at once be taken from the contractor.","The issue of materials should simultaneously be entered in the Account of Materials issued to contractors, Form CPWA 35-A.",The issue of material shall be debited to contractor whose contract is for finished items of works.,B,(10.3.4) unstamped not stamped acknowledgement,115.
"When the materials are obtained by purchases, full details of the articles received should at once be entered in the",Work abstract,MPSSA,Contractor Ledger,Measurement Book,D,(10.3.5),116.
Pick the incorrect one,The recovery from a contractor on account of the cost of material issued to him for use on a work should ordinarily be made by deduction from the first bill authorizing an advance payment or an on account payment to him for the work.,"Gradual recovery be undesirable in any case, the Divisional Officer may permit, the recovery to be effected in a lump-sum",Sub-divisional Officers should maintain a numerical account in Form CPWA 35-A Account of Material issued to contractor,"The purpose of CPAW 35A is to ensure that the aggregate of the quantities of any or all materials issued to a contractor, from time to time, for use on a work remains within the estimated requirements of his contract.",B,(10.3.7) Gradual not lamp-sum recovery of advance is desireable.,117.
If the specification or schedule of items provides for the use of any special description of materials for work to be supplied from,SDO’s Store,Superintendent of Store,Divisional store,Engineer-in-charge’s stores,D,(10.3.9),118.
"Stores/materials supplied by the Government for use on the work shall not be removed/ disposed of from the site of the work on any account and shall be, at all times, open to inspection by the",SDO,DO,Engineer-in-charge.,Superintendent of Store,C,(10.3.9),119.
Any stores/materials supplied by the Government remaining unused shall be returned to,SDO,DO,Engineer-in-charge.,Superintendent of Store,C,(10.3.9),120.
"At the time of returning the unused materials, the price for such material shall be determined by",Engineer-in-charge,SDO,DO,SE,A,(10.3.9),121.
The price allowed to the contractors for return of unused store shall be determined in such way that it does not exceed,Schedule of rates,Market rate,Amount charged to contractor at the time of issue including storage charge,Amount charged to contractor at the time of issue excluding storage charge,D,(10.3.9),122.
Deduction on account of any deterioration or damage of material while in custody of the contractor to be decided by the Engineer-in-charge whose decision will be,final and conclusive.,reviewed by the DO,reviewed by the SE,reviewed by the Government,A,(10.3.9),123.
"If stores/materials are supplied to the contractor by the Government within the schedule time for completion of the work, the contractor shall be bound to complete the entire work within schedule time for completion of the work plus",25% per cent thereof,50% per cent thereof,75% per cent thereof,100% per cent thereof,B,(10.3.9),124.
"If a part only of the materials has been supplied within schedule time for completion of the work then the contractor shall be bound to do so much of the work as may be possible with the material and stores supplied in the aforesaid period. “For the completion of the rest of the work, the contractor shall be entitled to such extension of time as may be determined",Engineer-in-charge,SDO,DO,SE,A,(10.3.9),125.
The decision in the above case by the competent authority shall be,reviewed by the DO,reviewed by the SE,reviewed by the Government,final and conclusive,D,(10.3.9),126.
Surplus materials which were originally procured by the contractors for themselves can also be taken over by the Government only on special arrangements at the prevailing,Issue Rates,Market rates,Analyzed rates,Assessed rates,B,(10.3.9),127.
The hire charges of tools and plant by the contractor count from,the date these are taken out from Departmental workshop or specific place till the date of their return.,the date following these are taken out from Departmental workshop or specific place till the date of their return.,the date following these are taken out from Departmental workshop or specific place till the previous date of their return.,the previous date these are taken out from Departmental workshop or specific place till the following date of their return.,A,(10.3.10),128.
"When materials are issued direct to work from stock/manufacture accounts, the credit will be effected to",Contractor’s Ledger,Work concerned,Stock,Measurement Book,C,(10.3.6),129.
