question,option_a,option_b,option_c,option_d,answer,hint,srno
Pick the incorrect one,"Cash balances held in the treasuries of the Central Government form part of the Consolidated Fund, Contingency Fund and the Public Account of India.",Such treasuries exist in those Union Territories whose accounts have not been separated from audit and continue to be compiled by the CAG,Transactions on behalf of State Governments arising in these treasuries shall be classified in the treasury accounts under the head ''8658 - Suspense Accounts - Suspense Accounts (Civil) ' Accounts with Accountant General and,Such transaction shall not be settled in cash by exchange of cheques/demand drafts but by book transfer,D,[Rule: 12],13.
"State whether true or false        At present the settlement of the transactions by exchange of cheques/demand drafts is resorted to in cases where the transactions taking place in a Union Territory accredited to an Accountant General are adjustable against the cash balances of a State, whose accounts are maintained by another Accountant General. These transactions are initially taken in the Central Section of accounts under the head '8685 Suspense Accounts ' Cash Settlement Suspense Account'.",True,False,,,A,[Rule: Note below 12],14.
The treasury Rules of each State Government issued under Article,281,282,283,284,C,[Rule: 13],15.
Pick the incorrect one,All receipts and payments in a State Treasury on behalf of other State Governments and the Central Government shall be taken in the first instance against the cash balance of the State concerned.,"On the basis of monthly treasury account or otherwise the Accountant General, in the case of transactions pertaining to the other State Governments, shall make the requisite adjustments through the Central Accounts Section of the Reserve Bank against the balances of the other State Governments concerned.",The settlement of transactions between the State Government of Jammu & Kashmir and Sikkim and other States the Centre / is effected by the respective bank of J&K and Sikkim and RBI Mumbai.,"In the case of transactions of the Central Government, including Railways / Postal / Defence Departments these should be accounted for under the head 'PAO Suspense - Transactions adjustable by PAO Ministry / Department of ' below the Major head '8658",C,[Rule: 13],16.
"In support of receipt and payment of Government transactions at the bank, receipt and payment scrolls supported respectively by challans and paid cheques shall be sent by the bank to the Accounts Officer of the Ministry or Department concerned on",daily basis,weekly basis,fortnightly basis,monthly basis,A,[Rule: 14 (a)],17.
"Payment of interest, repayment of principal on discharge of Central Government Securities and pensions including pensions to freedom-fighters taking place at State treasuries shall be accounted for under",Suspense Head 8658,Misc. Government Service 8680,Civil Advances 8550,Pension and Other Retirement Benefit 2071,A,[Rule: 14 (b)],18.
In respect of payments pertaining to Central Government Securities arising at State Treasuries the debit will be borne by,"PAO, Department of Economic Affairs, New Delhi","PAO, Department of Expenditure, New Delhi","PAO, Department of Government Securities, New Delhi","PAO, Ministry of Home Affair, New Delhi",A,[Rule: Note 1 below 14 (b)],19.
In respect of Central (Civil) Pensions including High Court Judges and Freedom Fighters arising at State Treasuries the debits will be raised against the,PAO of concerned department of State Government,PAO of concerned department of Central Government,PAO of concerned department of State or Central Government as the case may be,PAO in the Central Pension Accounting Office.,D,[Rule: Note 1 below 14 (b],20.
"Who prepares Classified Abstract showing the monthly receipts and payments pertaining to the Ministry, Department or Union Territory Administration under his payment control",Accredited bank,Accounts/PAO concerned,Head of the Department,Principal Accounts Officer,B,[Rule: 14 (d)],21.
"In respect of Central transactions taking place at Central treasuries in Union Territories whose accounts are at present maintained by State Accountants General, each State Accountants General shall send a monthly account showing the receipts and payments under major, minor, sub and detailed heads of account to",CAG,CGA,CCA of the concerned Min/Dep,Central Treasury,B,[Rule: 14 (f)],22.
Pick the incorrect one,"From the compiled accounts received from  (a) Principal Accounts Offices of Ministries/Departments (b) Accountants General, and (c) separated accounts organisations of Union Territory Governments/Administrations, the Controller General of Accounts shall prepare a Consolidated Account of the Central (Civil) including Post, Telecommunication and Railways transactions as a whole.","The cash balance of the Central Government in the books of the Controller General of  Accounts, at the close of each month will be reconciled with the statements of closing cash balance received from the Central Accounts Section of the Reserve Bank.",Consolidation of accounts of Defence Department as a whole is arranged by the Controller General of Defence Accounts from the accounts submitted by various Controllers of Defence Accounts functioning under him.,A copy of the monthly account (Civil) shall be submitted to the Central Government in the Ministry of Finance (Department of Economic Affairs) by the Controller General of Accounts.,A,[Rule: 15 (e)],23.
"State whether true or false        Postal Board, Tele communication Board. Railway Board and Controller General of Defence Accounts will submit the Consolidated monthly accounts of their respective departments separately to the Central Government.",True,False,,,A,[Rule: 14 (i)],24.
"Each State or Central treasury, which renders accounts to a State Accountant General will submit a",Single set of accounts consisting all the transactions,"double set of accounts, one for transactions of the State Government and the other for transactions of the Central Government.","triple set of accounts, one for transactions of the State Government concerned, second for transactions of other State Governments and third for transactions of Central Government","quadruplicate set of accounts, one for transactions of the State Government concerned, second for transactions of other State Governments and third for transactions of Central Government and fourth for transactions of Local Bodies.",B,[Rule: 15 (d)],25.
The cash balance of the State Government in the books of the Accountants General at the close of each month will then be reconciled with the balances shown in the,Cash Accounts rendered by Treasury Officers,the statements of closing balance received from the Central Accounts Section of the Reserve Bank.,Both,None,C,[Rule: 15 (g)],26.
Reconciliation of figures of cash balances by the Accountant General of the State is made in the head,8782,8680,8670,8675,D,[Rule: 15 (g)],27.
"A copy of the monthly account of each State Government, will be submitted by the Accountant General concerned to",the State Government,the Central Government,both,None,A,[Rule: 15 (h)],28.
"A copy of the monthly account of transactions finally adjusted in their books in respect of Union Territory Administrations, relevant portion relating to a Union Territory Government, and of Central Government Civil pensions will be rendered by the Accountant General to the",CCA concerned,CAG,CGA,Finance Minister,C,[Rule: 15 (h)],29.
"Transactions appearing in the books of an Accounts Officer in a Ministry /Department of the Central Government (including Railway, Defence, Posts and Telecommunications) which are adjustable in the books of an Accounts Officer of another Ministry/Department shall be",book transfer for adjustment and settlement,adjusted by cheque or bank draft,"adjustment by Central Accounts Section, RBI, Nagpur",No adjustment is required.,B,[Rule: 16 (1)],30.
"The undermentioned transactions between Central Civil on the one hand and Defence Department, Posts, Telecommunications and Railway Department on the other hand, will however,  continue to be settled through the Central Accounts Section of the Reserve Bank of India, Nagpur except","Settlement of payments against supplies arranged by the DGS&D in the Department of Supply (the Ministry of Commerce) on behalf of Railway, Defence and Posts.","Debts on account of supplies transactions arising in the books of the Chief Accounts Officer, High Commission of India, London and Indian Embassy, Washington with the Defence, Railways and Posts which appear, initially, in the books of the Principal Accounts Officer, Ministry of External Affairs.","Dividend payable in lieu of tax on Railway Passenger Fares, by Railways to Central Revenues.","Pension to the staff of Railways, Defence and Post.",D,[Rule: 16 (1) (i) to (v)],31.
Pick the incorrect one,Transactions initially taken against the balance of a State  which  are  eventually adjustable against the balance of another State shall be passed on to the AG of the latter State and the monetary settlement between the two states in respect of such transactions effected by the Accountant General of the former State through the Central Accounts Section of the Reserve Bank.,"Central transaction initially taken against the balance of a State which are adjustable in the books of Accounts Officers of the Ministries/Departments of the Central Government shall be passed on by the Accountant General to the latter and settled by Central Accounts Section of the Reserve Bank of India, Nagpur.","Repayment of Central loans and payment of interest thereon by the State Governments, excepting the Government of Jammu and Kashmir and Sikkim, are settled through the Central Accounts Section of the Reserve Bank of India, Nagpur.",Transactions of the Central and State Government handled in other countries by the Indian Embassies/Missions shall be incorporated in the cash account rendered by them monthly to the Controller General of Accounts.,B,[Rule: 16 (2)],32.
State whether true or false        The monthly accounts of the Central Ministries/Departments and of the State Governments will include not only the receipts and disbursements arising directly in the accounts of their Accounts Officers but also receipts and expenditure in other countries.,True,False,,,A,[Rule: 16 (5)],33.
"Annual Accounts (including Appropriation Accounts) in respect of State Governments, and Union Territory Governments with Legislature are prepared by",The AG concerned,State Government/UT Administration,CAG,Ministry of Finance,A,[Rule: 17 (1)],34.
"Annual Accounts (including Appropriation Accounts) in respect of State Governments, and Union Territory Governments with Legislature are approved by",AG concerned,CAG,Governor,President,B,[Rule: 17 (2)],35.
Annual Accounts (including Appropriation Accounts) in respect of State Governments and Union Territory Governments with Legislature are prepared in accordance with the provision of,Article 150 (2),Article 150 (3),Article 151 (3),Article 151 (2),D,[Rule: 17 (2)],36.
Appropriation Accounts of Central Ministries (other than Ministry of Railways) and of Central Civil Departments shall be prepared by the,respective Ministry/Department,CGA,CAG,Central Accounts Office RBI,A,[Rule: 17 (3)],37.
Appropriation Accounts of Central Ministries (other than Ministry of Railways) and of Central Civil Departments shall be prepared under the guidance of,respective Ministry/Department,CGA,CAG,Central Accounts Office RBI,B,[Rule: 17 (3)],38.
Appropriation Accounts of Central Ministries (other than Ministry of Railways) and of Central Civil Departments shall be signed by,CGA,CAG,Chief Accounting Authority,Chief Controller of Accounts,C,[Rule: 17 (3)],39.
"Union Government Appropriation Accounts (Civil) required to be submitted to Parliament, shall be prepared by the",Finance Minister,CGA,CAG,respective Ministry/Department,B,[Rule: 17 (3)],40.
"Appropriation Accounts pertaining to Departments of Posts, Telecommunications, Railways and Defence shall be prepared and signed by the",CAG,CGA,Finance Minister,"Secretaries to the Department of Posts, Department of Telecommunications, Financial Commissioner, Railway Board and Secretary (Defence Finance) respectively.",D,[Rule: 17 (3)],41.
"Annual accounts of the Government of India as a whole (Posts, Telecommunications, Defence, Railways, Union Territory Administration and transactions under Public Account of India, Accounts of Union Territory Governments with Legislatures showing under the respective heads the annual receipts and disbursement for the purpose of the Union, shall be prepared by the",CAG,Finance Minister,CGA,All of the above,C,[Rule: 17 (4)],42.
Who certifies the Annual accounts of Government?,CAG,Finance Minister,CGA,All of the above,A,[Rule: 17 (5)],43.
The certified annual accounts and the Reports relating to the accounts shall be submitted by the CAG to the President in accordance with the provisions of,"Section 10 of the CAG's Constitution of India.(DPC)Act,1971andclause(1)ofArticle151ofthe","Section 11 of the CAG's(DPC)Act,1971andclause(1)ofArticle150oftheConstitution of India.","Section 10 of the CAG's(DPC)Act,1971andclause(1)ofArticle150oftheConstitution of India.","Section 11 of the CAG's(DPC)Act,1971andclause(1)ofArticle151oftheConstitution of India.",D,[Rule: 17 (5)],44.
"Pro forma accounts relating to Irrigation, Navigation, Embankment and Drainage Projects and Government residential buildings are required to be prepared by",Departmental authorities,Civil Account Offices.,Principal Account Office concerned,CAG/AG,B,[Rule: 18],45.
Pro forma accounts are also sometimes required to be prepared for transactions which do not relate to commercial or quasi-commercial undertakings of Government. Pick the correct one,Construction of Government Building,Construction of Government library,Accounting of Contribution/Grant-in-aid,Accounting of Famine Relief,D,[Rule: 18],46.
The form in which any pro forma accounts are prepared in Accounts Offices will be determined by the,Government concerned on the advice of the CAG,CAG on the advice of the Government concerned,Government concerned on the advice of the CGA,CGA on the advice of the Government concerned,A,[Rule: 18],47.
Pick the incorrect one,"The accounts of Government are based, in the main, on the single entry system and the double entry system will be applied only in regard to the maintenance of a set of technical accounts called the Journal, Ledger and Trial Balance Sheet.","The main purpose of the Journal and Ledger is to bring out by a scientific method, the balances of accounts in regard to which Government acts as a banker, or remitter or borrower or lender.","In the case of the Central Government, the various Departmental Officers shall prepare Ledger and summary of balances in accordance with the procedure separately prescribed for the purpose by the Controller General of Accounts.","State Accountants General will maintain separate Journal and Ledger for all transactions of the State Government, from which the annual summary of Balances or Trial Balance Sheet is prepared by them",C,[Rule: 19. Various Accounts Officer and not Departmental Officer.],48.
