question,option_a,option_b,option_c,option_d,answer,hint,srno
"State whether true or false The receipts relating to each project, for which a separate capital account is kept should be registered separately and all the other receipts pertaining to a major head should be booked separately.",True,False,,,B,receipts pertaining to a major head should be booked collectively and not separately (9.5.1),36.
"Pick the correct one (i) In the Register of Revenue Form 46 a column is opened for each minor head of revenue and detailed heads subordinate to it other than “Deduct Refunds”, (ii) For the head Deduct Refund a single deduction is made from the total revenue of the month (iii) The details of the amounts making up the figure to be deducted being recorded in a separate Register of Refunds of Revenue, which should also be in Form 49 (iv) All receipts and recoveries on capital account should also be abstracted in Form 46 wherein separate record should be kept in respect of programme minor head concerned or the minor head “800 - Other Expenditure” under each major head of expenditure.","i, ii and iii","i, ii and iv","ii, iii and iv",All of the above,B,for iv it should also be in Form 46 and not in Form 49 (9.5.2),37.
Receipts adjustable under the minor head “103 - Recovery of percentage charges” or 800 - other receipts” will appear in the Register of Revenue for the major head concerned under three distinct detailed heads. Pick the incorrect one,Establishment recoveries,Tools and Plant recoveries,Contingent Recoveries,Other recoveries.,C,(9.5.3),38.
State whether true or false In respect of Licence Fees receipts of the buildings and special services for which a subsidiary account is kept in Form 49 it is not necessary to make entries in detail in any of the registers in Form 46. The monthly totals only excluding the amounts realized under the Account Circles should be transferred from Form 49 to Form 46.,True,False,,,A,(9.5.4),39.
"Register of Licence fees of Buildings and Lands to show the monthly assessments, realizations and balances of rents, of all residential buildings including office buildings used as residences and of such other buildings, lands, etc as may be available for being licensed should be maintained in the Divisional Office",Form 44,Form 45,Form 46,Form 49,D,(9.5.5),40.
Following types of buildings need be entered in the Register of Licence fees of Buildings and Lands in CPWA Form 49,"Private buildings which have been hired for use as residences or are used as such, wholly or in part.",Licence fee free quarters for Group ’D’ employees need not be entered except when allotted to persons from whom licence fees is recoverable,Rest-houses and other travelers’ bungalows,All of the above,A,(Note 1 & 2 below 9.5.5),41.
"Pick the incorrect one On closing the account of a work involving expenditure on the construction, acquisition or equipment of a building intended to be used as a residence, or expenditure on additions or alterations to an existing a residential building, the Divisional Accountant should see","That if it is a new building, it is entered in the Register of Licence Fees of Buildings and Land",That steps are taken to obtain the orders of competent authority to assess or revise,That the correct capital cost of the building is noted in the register of buildings,It does not apply to expenditure on the provision of special services in connection with residential buildings such as furniture etc for which rent is charged separately.,D,(Note 3 below 9.5.5),42.
"If a building is actually occupied prior to closing the accounts of expenditure on its construction, acquisition or equipment, licence fee is chargeable from",date of occupancy,date of completion,date of sanction,Any of the above at the discretion of DO,A,(Note 5 below 9.5.5),43.
"If under the Supplementary Rules issued under the relevant Fundamental Rules, or under other financial rules, the standard licence fees as well as the allowance fixed for maintenance and repairs are subject to a periodical review, who should see that they are punctually reviewed and necessary revisions carried out in accordance with the prescribed rules and procedure?",Directorate of Estate,PAO,Divisional Officer,Divisional Accountant,D,(Note 6 below 9.5.5),44.
The Licence fee for Government residential buildings shall be revised once,in a year,in two years,in three years,in five year,C,(Note 6 below 9.5.5),45.
The Licence fee for Government residential buildings shall be revised by,Divisional Officer,Divisional Accountant,PAO,Directorate of Estate,D,(Note 6 below 9.5.5),46.
"The total realizations license fee of each month should be abstracted at the foot of the register CPWA Form 49, so as to show separately except",cash realized in the division,"recoveries by Disbursing and Accounts Officers of the Defence, Post and Telecommunications and Railway Accounts Circles adjusted in the divisional accounts",recoveries of license fee by PAO,recoveries of license fee by Directorate of Estate,D,(9.5.7),47.
"State whether true or false Cash refunds of licence fees realized should be shown separately as plus expenditure in the Register of Licence Fee of Buildings and Lands, and thus distinguished from the gross realization of licence fees.",True,False,,,B,not plus expenditure but minus realisation (Note below 9.5.7),48.
