question,option_a,option_b,option_c,option_d,answer,hint,srno
"Fidelity Bond issued by National Insurance Company Ltd or New India assurance Company Ltd or Oriental General Insurance Company Ltd or United India General Insurance Co Ltd shall only be accepted as an interest bearing security. In case a fidelity bond is issued by a nationalized bank, the same should not be accepted.",True,False,,,A,,36.
Pick the incorrect one,Cash deposits of subordinates and contractors may be converted at the cost of the depositor,Cash deposits of subordinates and contractors may not be converted into more than one forms of interest-bearing securities,For this the depositor has to expressly desire in writing,the acceptance of the new forms of security shall be permissible under the rules as well as under the terms of the agreement or bond.,B,,37.
"Cash which has actually been received or recovered may be converted even though the full amount of the deposit which is being paid in installments,has not yet been realized.",True,False,,,A,,38.
"In exceptional cases, the percentage deduction from the bill of the contractor shall be accounted for under Contractor-OT in place of Deposit",the amount so withheld should not exceed Rs. 500/- per bill,the amount so withheld should not exceed Rs. 500/- per work,the amount so withheld should not exceed Rs. 1500/- per bill,the amount so withheld should not exceed Rs. 1500/- per work,B,,39.
"All items of receipt, the classification of which cannot be determined at once or which represent errors in account awaiting adjustment shall be accounted under",Misc. Revenue,Misc. Deposit,Grant,Contingent Receipt,B,,40.
In Public Works Accounts lapsed deposited are credited to the Government Account,in March,in September,in March and September,as and when prescribed period is completed for treating a deposit as lapsed one,A,,41.
"Pick the correct one (i) Deposits not exceeding Rs. 25, unclaimed for one whole account year, or residuary balances not exceeding the said amount out of deposits partly repaid during the year then closing. (ii) All Deposits or balances in excess of the above said amount, unclaimed for more than three complete accounts years. (iii) A list of deposits and balances thus lapsing shall be sent to the Pay and Accounts Officer (iv) The deposits under litigation or arbitration shall nevertheless be deemed as “unclaimed deposits” for the purpose of crediting to Government under this rule. However, they should be listed out distinctly",(i) and (ii),(i) and (iii),"(i), (ii) and (iii)",All of the above,C,,42.
"Deposits credited to Government or confiscated under the provisions of an agreement or bond cannot be repaid, without pre-check by the Pay and Accounts Officer who will authorize payment on ascertaining following","that the item was really received,",that it was credited to Government as lapsed or confiscated,that the claimant’s identity and title to the money are certified by the Divisional Officer.,All of the above,D,,43.
Pick the incorrect one,A record of the transactions relating to Public Works Deposits should be maintained in the divisional office in a register in the same form as the Suspense Register CPWA 67.,"This Deposit Register should show, month by month the total receipts and adjustments and the closing balance of each separate deposit item including deposits for work in detail.",Schedule of Deposit Works is prepared in Form CPWA 65.,None of the above,B,"(for deposit for work, a single entry will be sufficient",44.
Pick the correct one (i) Schedule of Deposit is prepared in CPWA 79. (ii) It is a monthly extract prepared from the Deposit Register for submission to the Superintendent Engineer. (iii) This form is in two parts-Part I Account giving total for each class of deposit. Part II detailed extracts from the deposit register consists only such items those are affected by the months transactions. (iv) The entry for deposits for work to be done will be supported by the Schedule of Deposit Works.,"(i), (ii) and (iii)","(ii), (iii) and (iv)","(i), (iii) and (iv)",All of the above,C,(ii- submission to PAO),45.
Interest-bearing securities should be kept in Form,CPWA 84,CPWA 85,CPWA 86,CPWA 85A,B,,46.
Account of Interest-bearing Securities should be prepared in CPWA 86 for submission to the Pay and Accounts Officer,monthly,quarterly,six-monthly,yearly,D,,47.
The account of Interest-bearing securities in CPWA 86 should be supported by,the acknowledgment (in original) of depositors for securities returned or re-transferred to them during the year.,"the certificate of the Divisional Officer that all securities shown as outstanding in this account, or their acknowledgments by the aurhorised custodians are in his possession.",both of the above,Neither of the above,C,,48.
"If a security recovered in installments is being deposited in the Post Office Saving Bank, no entries should be made in respect of it in the Register in CPWA Form 85 until the security has been fully paid up and if such security deposit is to be refunded before the full amount is recovered shall be refunded without bring on this Register.",True,False,,,B,(if refunded it should be entered),49.
"If any Post Office Saving Bank Deposits have been hypothecated to a Divisional Officer, the register for such securities should be kept by him and he should sign the",monthly certificate in respect of them,quarterly certificate in respect of them,six-monthly certificate in respect of them,annual certificate in respect of them,D,,50.
"The procedure for when a subordinate who has furnished an interest-bearing security, is transferred to another division or department prescribed by the",Admin Min/Administrator concerned in consultation with the PAO,Admin Min/Administrator concerned in consultation with the CCA,CCA in consultation with the DO,DO in consultation with the PAO .,A,,51.
Non-Government Works are divided into three classes. Pick the incorrect one,Deposit Works,Local Loan Works,Takavi Works,Grant Works,D,,52.
"Grant to make good a deficit or a compensation for revenue resumed, shall be classified under",3406,3604,4604,4406,B,,53.
"Contributions made by the Central to the State Government, District Boards, Municipalities etc. for construction of a road shall be",debited to 5054,debited to 3054,minus debited to 5054,minus debited to 3054,B,,54.
"Contributions received by the Central from the State Government, District Boards, Municipalities etc. for construction of a road shall be",minus debited to 3054,minus debited to 5054,credited to 1054,minus credited to 1054,C,,55.
"The financial assistance given by the Central Government to a Local body which does not take the form of a grant of cash, but of expenditure in the PWD equivalent to the whole or a part of the cost of a work constructed by that Department on behalf of the local body concerned is called",Grant-in-aid,capital outlay,revenue outlay,contribution,D,,56.
"Even when works already constructed or land already purchased, are transferred free of charge to local bodies, readjustment of the amounts of cost is necessary.",True,False,,,B,(It is free so no readjustment),57.
All expenditure incurred on a Deposit work shall be debited to,MWA,Civil Advance,PW Deposit,Capital Outlay,C,,58.
All expenditure incurred in excess of deposit received on a Deposit work shall be debited to,MWA,Civil Advance,PW Deposit,Capital Outlay,A,,59.
"Pick the correct one (i) In case of works of all the autonomous bodies financed entirely from Government funds only one-third of the estimated cost of a particular work need be got deposited (ii) Thereafter expenditure incurred may be got reimbursed through monthly bills. (iii) The deposit of 33.33% obtained earlier should be retained for adjustment against the last portion of the estimated expenditure. (iv) A consolidated record of the transactions of a month relating to all Deposit Works of the Division should be prepared in Form 65, Schedule of Deposit Works.","(i), (ii) and (iii)","(ii), (iii) and (iv)","(i), (iii) and (iv)",All of the above,B,(i- where receipt of money is assured),60.
Refunds of unexpended balances of completed works should be taken,debit to 8443,minus debit to 8443,credit to 8443,minus credit to 8443,D,,61.
All payments of “decretal amounts” pertaining to “Deposit Works” should be charged on the,Consolidated Fund of India,Contingency Fund of India,Public Accounts,Personal Deposit Account,A,,62.
Pick the incorrect one,All payments of “decretal amounts” pertaining to “Deposit Works” should be debited at first instance to MWA-Detailed Head – Other items whether fund is available in the deposit or not .,These should simultaneously be transferred to the Deposit Work concerned by debit to “108 - P.W. Deposits” if sufficient funds are available,"if sufficient fund is not available in deposit , then these should simultaneously be transferred to MWA – Expenditure incurred on Deposit Works in excess of deposits received",None,D,,63.
The amount of each deposit should be rateably divided into two parts. Pick the correct one,Share for Works expenditure and share for Percentage charges,Share for Direct charges and share for indirect charges,Share for capital expenditure and share for revenue expenditure,Share for Charged expenditure and share for Voted expenditure,A,,64.
"Expenditure on a local loan work, including the portion of expenditure on a joint work, which is incurred against a sanctioned loan under orders of competent authority should be shown in the Schedule of",Credits to Miscellaneous heads of Account CPWA 76,Debits to Miscellaneous heads of Account CPWA 76,Credit to Remittance CPWA 77,Debits to Remittance CPWA 77,B,,65.
All charges debitable to a loan should be brought to account as they occur so that the interest charges may be correctly calculated and adjusted in,Divisional Office,Sub-Divisional Office,office of Admin. Min/Administrator concerned,Pay and Accounts Office,D,,66.
The expenditure incurred on account of Takavi Works should be recorded as Takavi Works Advances,"Takavi Works Advances-8550 – Civil Advances, 103 - Other Departmental Advances.","Takavi Works Advances -8550 – Civil Advances, 103 - PWD Advances",Takavi Works Deposit- 8443- Civil Deposit-103-103 - Other Departmental Deposit.,Takavi Works Deposit- 8443- Civil Deposit-103-103 - 103 - PWD Deposit.,A,,67.
"Schedule of Takavi Works which shows the expenditure incurred on each work, the amount realized on account of it and the outstanding balance of the account should be prepared in form",CPWA 64,CPWA 65,CPWA 66,CPWA 71,C,,68.
Ordinary maintenance and repair works should pertaining to Takavi Works be considered as completed each year,on the 31st March,on the 31st October,on 30th November,on 31st January,B,,69.
Last date of a Takavi Year is prescribed by,DG (Works),CCA,PAO,Admin. Min/Administrator,D,,70.
Ordinary maintenance and repair works expenditure pertaining to previous Takavi Year incurred in the following Takavi Year will be treated as,Expenditure of previous Takavi year,Expenditure of current Takavi year in which expenditure incurred,Equitably expenditure of both previous and current Takavi years,All of the above,B,,71.
"If amount due on Takavi Work is not received in cash direct from them, it is recoverable through",Grant of Central Government,Grant of State Government,the District and Revenue Authorities in the same way as arrears of Land Revenue,PAO of the Division concerned.,C,,72.
"On receipt back of the duplicate copy of Takavi Work certificate from District Authority duly accepted, Takavi Works Advance shall be cleared by",credit Takavi Advance and debit MWA,credit MWA and debit Takavi Advance,debit Takavi Advance and credit Loan & Advance (Cultivator),Credit Takavi Advance and debit Loan & Advance (Cultivator),D,,73.
The cost of the land acquired by the Civil authorities on behalf of the PWD is debitable in the accounts of,Civil Department,PWD,both Civil Department and PWD,Either Civil Department or PWD,B,,74.
The cost of the land acquired by the Civil authorities on behalf of the PWD is charged to PWD and debited to,Estimate of Work,Direction & Administration,Contingent Charges,Suspense Account,A,,75.
The cost of the land acquired by the Civil authorities on behalf of two or more non-commercial departments conjointly is debitable in the accounts of,PWD,All the departments equally,department concerned on pro-rata basis,the department for which the greater part of the land was taken up,D,,76.
"When a special officer is employed for the acquisition of land for the PWD, the expenditure on pay, allowances, etc of the special officer and his establishment and any expenditure on contingencies is debitable to the",PWD as part of the cost of works for which the land is acquired.,PWD as contingent charges.,Civil Department to which the civil officer belongs to.,Both PWD and Civil Department to which the civil officer belongs to as contingent charges.,A,,77.
"When the land is taken up by a civil officer, not specially employed for the work, the PWD will bear the charges as part of the cost of works for which the land is procured on account of",only Pay and Allowance,"only special charges incurred in connection with the acquisition of the land on establishment, contingencies etc",only special remuneration as awarded by the Government.,All of the above.,B,,78.
Pick the incorrect one,The licence fee of buildings hired for use as residences of Government servants of any Civil non-commercial department is chargeable in the accounts of the PWD,"When the hired residences are placed under the charge of any other department, the charges on account of rent in connection with residences will be disbursed and borne by PWD.","When any land or building not belonging to the PWD is hired by another department to be occupied for any other public purpose, the rent is payable by the department concerned.","When prison labour is employed on on Jail works no charge is made by the Jail department, but in other cases the full market value of the work performed, as certified by the Divisional Officer is charged to the PWD. .",B,,79.
"Pick the correct one (i) Transfer of land from one Department of the Government to another shall be on a ‘no profit no loss’ basis. (ii) Transfer of buildings and superstructures on such lands between Departments of the Government shall be at the present day cost minus depreciation of the structure. (iii) Valuation for this purpose shall be obtained from the Ministry of Finance at the time of transfer. (iv) The allotment of land to, and recovery of cost of buildings from public sector undertakings shall be at market value","(i), (ii) and (iii)","(i), (iii) and (iv)","(i), (ii) and (iv)",All of the above,C,(iii-valuation from PWD and not MoF),80.
Market value when applied to land may be defined as the price which the land would fetch if sold in the open market subject to the ground rent or assessment shown against it in the revenue registers.,True,False,,,A,,81.
"Services rendered, or articles supplied, by one division to another will be settled through",Advance payment,Book transfer,CSSA,MPSSA,A,,82.
"Amounts owing by or to a department or departments of other Governments (Cash recoveries made from employees, contractors, etc as also revenue realized on behalf of other Divisions, Department or Governments) should be passed on to them by affording Book Transfer by the Division/PAO concerned.",True,False,,,B,(by cheque or draft and not book transfer),83.
"Where the material is purchased by placing indent on D.G.S.&D, the existing procedure for making payment by the PAO of Division to PAO, Supply by operating",Debit to MPSSA,Minus debit to MPSSA,Credit to MPSSA,Minus credit to MPSSA,D,,84.
Inter-Departmental transaction on account of supplies made or services rendered to Cabinet Secretariat and Ministry of Defence has to be settled by operating,Debit to CSSA,Minus debit to CSSA,Credit to CSSA,Minus credit to CSSA,A,,85.
"Work done in a Public Works Division on behalf of another Division, including the Divisions of other Government the claims should be settled",by the Divisions amongst themselves with the intervention of the PAO,by the Divisions amongst themselves without the intervention of the PAO,by the PAOs of the Divisions concerned,by book transfer,B,,86.
"Who should see that there is clear authority of the responsible disbursing officer of his division for claims/transfer advised to other divisions, departments or Governments and that no charge advised by another division, department or Government is finally paid/adjusted until all the necessary vouchers have been received?",DA,DO,PAO,CCA,A,,87.
Government employees are covered under the New Pension Scheme’2004 who has joined Government Service,on or after 01-01-2005,on or after 01-04-2005,on or after 01-01-2004,on or after 01-04-2004,C,,88.
The Administrative Branch of the Division will maintain the Bills Register in form,CPWA 9,GAR 9,CPWA 14,GAR 14,B,,89.
The DDOs/CDDOs will have to prepare separate Pay Bills in respect of Government servants under NPS and will send the same with all other schedules to the Pay and Accounts Officer so as to reach him,on or before 15th of the month to which the Bills relate,on or before 17th of the month to which the Bills relate,on or before 20th of the month to which the Bills relate,on or before 25th of the month to which the Bills relate.,C,(15th in the case of DDOs/CDDOs situated in far flung areas not easily accessible),90.
An account of undisbursed pay and allowances should be kept in a Register in Form,CPWA 25,CPWA 29,GAR 29,GAR 25,D,,91.
It should be ensured that undisbursed amount shall be refunded either in cash or by short drawl if it remained undisbursed for,six-months,one month,two months,three months,D,,92.
A bill register in the form GAR 9 should be maintained by all Heads of Offices who are authorized to draw money on account of pay and allowances etc by Cheque on bills signed by them. The register should be reviewed yearly by a Gazetted Officer and the result of review recorded thereon.,True,False,,,B,(monthly review),93.
All orders revising sanctioned scales or sanctioning the creation or abolition of permanent or temporary appointments should at once be communicated to the,Divisional Officer,DG (Works)/CE,PAO,CCA,C,,94.
"In the case of all transfers of divisional, sub-divisional or other executive charges, a report of transfer of charge should be prepared and sent to the ______ through the ____","PAO, SE","SE, PAO","CCA, SE","CCA, PAO",A,,95.
"Whenever the transfer of charge is prolonged so that two Government servants may be entitled ‘to draw pay and allowances simultaneously for the same appointment, who should intimate the PAO to consider relieving officer either on duty or on leave or on joining time?",DO,SE,CE,DG(Works),B,,96.
"If the contingent charges of a division excluding special contingencies during a month, exceed monthly limit for such charges fixed by the Admin Min/Administrator concerned, the bill for the month should be submitted for countersignature to",SE,CE,Admin. Min/Administrator concerned,PAO,A,,97.
"At the end of the month, for submission to the Accounts Officer with the Monthly Account all contingent charges including Stock and adjustment transactions should be consolidated in a bill headed ‘Not Payable’ in form",GAR 29,GAR 30,GAR 31,GAR 32,C,,98.
Register of contingent expenditure should be prepared in Form,GAR 27,GAR 26,GAR 28,GAR 25,A,,99.
Which of the following offices shall not be treated as Direction/Special Office?,SE,Superintendent of Work,CE,CCA,D,,100.
The monetary transactions of heads of special offices are divided into two distinct groups. Pick the correct one,Pay and Allowance and Contingent charges,Capital Charges and Revenue Charges,Departmental charges and Non-departmental charges,Budgeted charges and Special Charges,A,,101.
Establishment bills will be presented for encashment at the Zonal PAO at the places where the office of the Accounts Officer is located and the authorized division at the places other than the place of office of Accounts Officer.,True,False,,,A,,102.
"Purchase and repair of scientific instruments and drawing materials, camp equipage, motor cars pertaining to a Direction/Special Office shall be booked to",Tools and Plant,Machinery & Equipment,Contingency,Work (Contingency),C,,103.
"Transfer Entry orders, Form 53, relating to the accounts of the month of sub-division will be sent to the Divisional Officer",Within 3 days the date on which the accounts of a month are closed in the Sub-Divisional Office,Within 7 days the date on which the accounts of a month are closed in the Sub-Divisional Office,Within 10 days the date on which the accounts of a month are closed in the Sub-Divisional Office,Within 15 days the date on which the accounts of a month are closed in the Sub-Divisional Office,A,,104.
Pick the incorrect one regarding submission of report/return of a sub-division to Divisional Office,"Statement of Receipt, Issues and Balance of Road Metal in CPWA 16- Monthly",Statement/Report on recoveries of License Fee of building and land-Monthly,Report of verification of stores-Monthly,Tools and Plant Ledger- On such dates as prescribed by the Divisional Officer,C,(Occasional-as no frequency fixed but immediately after each verification),105.
