question,option_a,option_b,option_c,option_d,answer,hint,srno
Pick the incorrect one,"Under Police Act 1861, the property itself is to be kept for six months, but money realised by sale should be taken to credit of the appropriate receipt head.",In the case of property left by persons dying intestate and without heirs which Civil Courts will secure and hold for certain periods in accordance with the local law.,"If unclaimed property be perishable and be sold because it cannot be kept or it be sold for the benefit of the owner or because its value is less than twenty rupees, its proceeds should be held for six months, in deposit, but the circumstances should be clearly stated in the challan.","Unclaimed property found by or delivered to a police officer, should. be made over to the Magistrate.",C,[Rule: Note 1 below 184 (5)],28.
State whether true or false        Proceeds of sale of old stores or other Government property should be credited to Non-interest bearing deposit.,True,False,,,B,[Rule: Note 3 below 184 (5)],29.
Refunds of deposits can be made on Application-cum-Bill in form,GAR 43,GAR 44,GAR 46,GAR 49,A,[Rule: 186],30.
State whether true or false        A separate permanent advance may be given and held apart specially for the repayment of deposits where the number and frequency of repayment of deposits are substantially heavy,True,False,,,B,[Rule: Note 1 below 184 (5)],31.
At the close of March each year deposits not exceeding twenty-five rupees or residuary balances not exceeding the said amount out of deposits partly repaid during the year shall be treated as lapsed deposit and credited to Government Accounts if remain unclaimed for,one year,one whole account year,three years,three whole account years,B,[Rule: 189 (1)],32.
When all deposits or balances in excess Rs. 25/- shall be treated as lapsed deposits and credited to Government Accounts if remain unclaimed for,3 complete account years,more than 3 complete account years,5 complete account years,more than 5 complete account years,B,[Rule: 189 (1)],33.
"In the case of deposits, the detailed accounts of which are kept by departmental officers, a list of deposits and balances thus lapsing shall be prepared by them and sent to the",Administrative Ministry/Department,Principal Accounts Officer,Accounts Officer,Ministry of Finance,C,[Rule: 189 (1)],34.
"Pick the correct one \\n(i) The age of a repayable item, or of a balance of it, may be reckoned as dating from the time when the item or the balance, as the case may be, was initially deposited. \\n(ii) A repayable item deposited by a party in connection with a contract or supply order is on request, decided to be reckoned as deposit against a subsequent contract or supply order awarded to the same party, the age of the item will be calculated with reference to the date of the latter. \\n(iii) Such of the deposits or balances of deposits which pertain to contracts, supply, orders that are under litigation or arbitration shall not be deemed as ""unclaimed deposits"" for the purpose of crediting to Government under this rule.  \\n(iv) They should, nevertheless, be listed out distinctly along with relevant particulars so as to facilitate action for releasing the deposit, or for forfeiting it, depending on the judgement or award .at the conclusion of the litigation or arbitration.","i, ii and iii","i, iii and iv","ii, iii and iv",All of the above,D,[Rule: Note 1 & 2 below 189 (1)],35.
Refund of lapsed deposit shall be drawn on form,GAR 43,GAR 44,GAR 46,GAR 49,C,[Rule: 190 (1)],36.
"If refund of lapsed deposit is made after the Register of Receipts has been destroyed, the responsibility for verifying the claimant's title to the refund shall devolve on the",claimant,authority who signs Form GAR 46,Head of Office/Department,Accounts Officer,B,[Rule: 190 (3)],37.
The overall check in respect of a Personal Deposit Account is exercised by,DDO,Head of Department,Accounts Officer,accredited bank,D,[Rule: 191 (1)],38.
A personal deposit account may be authorised to be opened only under the special order or permission of the Ministry or Department concerned in consultation with the,CGA and Principal Accounts Officer,CGA and CAG,CGA and Accounts Officer,CGA and Chief Controller of Accounts,A,[Rule: 191 (2)],39.
"In relation to Civil and Criminal Courts deposits, a Personal Deposit Accounts shall be opened in favour of the",The Registrar of the Court concerned,Chief Judicial authority concerned,Chief Justice of High Court concerned,Advocate General of State,B,[Rule: 191 (3) (b)],40.
Who can be authorised to open personal deposit accounts for public funds or regimental funds in the Defence Departments?,The President,Defence Minister,Chief of the Staff,Commanding Officer of the unit,D,[Rule: 191 (3) (c)],41.
Which can be deposited outside the Government account with any branch of the State Bank of India or any other public sector bank?,Public Fund of Defence Department,Public Fund of Civil and Criminal Court,Regimental Fund of Defence Department,All of the above,C,[Rule: Note below 191 (3) (e)],42.
Every Personal deposit account so opened will form part of the Government Account and be located in the,Consolidated Fund,Contingency Fund,Public Account,Any of the above,C,[Rule: 191 (4)],43.
Balances in personal deposit accounts shall lapse to lapse to Government when it is outstanding for,more than one complete account year,more than three complete account year,more than five complete account years,shall never lapse,D,[Rule: 191 (4)],44.
"Pick the incorrect one \\n(i) In cases where a Government servant is permitted to retain the whole of a fee, he should collect it himself and the Government will not be concerned with the transaction \\n(ii) In cases where the exact amount of the fees and the distribution of shares between the Government and Government servant are known before hand, the share due to the Government should be credited as miscellaneous receipt of the department to which the  Government servant belongs and the rest should be collected by the Government servant himself. \\n(iii) If the amount of the fees or the shares are known only approximately, beforehand, all the fees should in the first instance be similarly credited to Government appropriate deposit head pending final settlement. \\n(iv) when the share due to the Government should be credited as miscellaneous receipt of the department to which the Government servant belongs, and the rest should remain under the deposit head for disbursement to the Government servant by the Head of Office who will draw the amount on a bill in ordinary pay bill form specifying therein the authority sanctioning the payment of fees.","i, ii and iii","ii, iii and iv","i, iii and iv",All of the above,D,[Rule: 196],45.
"Where any doubt arises as to the interpretation of any of rules of R&P 1983, the matter shall be referred to the",CGA,CAG,Parliament,President,A,[Rule: 199],46.
