question,option_a,option_b,option_c,option_d,answer,hint,srno
The number of supplier firms in Limited Tender Enquiry should be,not less than three,more than three,four,six,B,[Rule: 162 (1)],20.
Purchase through Limited Tender Enquiry may be adopted even where the estimated value of the procurement is more than 25 lakh in the following circumstances except,The competent authority in the Ministry or Department certifies that the demand is urgent and any additional expenditure involved by not procuring through advertised tender enquiry is justified in view of urgency.,There are sufficient reasons indicating that it will not be in public interest to procure the goods through advertised tender enquiry.,The sources of supply are definitely known and possibility of fresh source(s) beyond those being tapped is remote.,The goods under procurement is of high value and delicate nature.,D,[Rule: 162 (iii)],21.
Pick the incorrect one,"For purchasing high value plant, machinery etc. of a complex and technical nature, bids may be obtained in two parts- Technical bid and Financial bid.",Technical bid consists of all technical detail s along with commercial terms and conditions and Financial bid indicating item-wise price for the items mentioned in the technical bid.,The technical bid and the financial bid should be sealed by the bidder in separate covers duly super-scribed and both these sealed covers are submitted separately.,The technical bids are to be opened by the purchasing Ministry or Department at the first instance and evaluated by a competent committee or authority. At the second stage financial bids of only these technically acceptable offers should be opened after intimating them the date and time of opening the financial bid for further evaluation and ranking before awarding the contract.,C,[Rule: 163],22.
Procurement from a single source may be resorted to in the following circumstances except:,It is in the knowledge of the user department that only a particular firm is the manufacturer of the required goods,In a case of emergency and reason for such decision is to be recorded and approval of competent authority obtained.,"For standardisation of machinery or spare parts to be compatible to the existing sets of equipment (on the advice of a competent technical expert and approved by the competent authority), the required item is to be purchased only from a selected firm",None of the above,D,[Rule: 166],23.
Proprietary Article Certificate is applicable in,Limited Tender Enquiry,Advertised Tender Enquiry,Single Tender Enquiry,Two Bid Enquiry Tender,C,[Rule: 166 Note],24.
"An online real-time purchasing technique utilised by the procuring entity to select the successful bid, which involves presentation by bidders of successively more favourable bids during a scheduled period of time and automatic evaluation of bids is called",Electronic Procurement,Electronic Reverse Auction,Electronic Buyer Seller Action,Electronic Deliberation,B,[Rule: 167],25.
"State whether true or fasle       Maintenance contract(s) of suitable period either with the supplier of the goods or with any other competent firm, not necessarily the supplier of the subject goods is/are especially needed for sophisticated and costly equipment and machinery.",True,False,,,A,[Rule: 169],26.
"To safeguard against a bidder's withdrawing or altering its bid during the bid validity period in the case of advertised or limited tender enquiry, Bid Security is obtained. Bid Security is also called",Security Deposit,Performance Deposit,Work Guarantee,Earnest Money,D,[Rule: 170],27.
Amount of bid security should ordinarily range between,1 to 5% of the estimated value of the goods to be procured.,2 to 5% of the estimated value of the goods to be procured.,3 to 5% of the estimated value of the goods to be procured.,5 to 10 of the estimated value of the goods to be procured.,B,[Rule: 170 (i)],28.
Bid Security may be exempted for,Micro and Small Enterprises (MSEs),Suppliers registered with the Central Purchase Organisation or the concerned Ministry or Department.,Both of the above,None,C,[Rule: 170 (i)],29.
The bid security is normally to remain valid for a period of,30 days beyond the final bid validity period.,30 days from date of inviting bid,45 days beyond the final bid validity period,45 days from date of inviting bid,C,[Rule: 170 (i)],30.
Bid securities of the unsuccessful bidders should be returned to them at the earliest after expiry of the final bid validity and latest on or before the,30th day after the award of the contract.,45th  day after the award of the contract,60th  day after the award of the contract,75th  day after the award of the contract,A,[Rule: 170 (ii)],31.
Performance Security should be for an amount of (of the value of the contract as specified in the bid documents),2 to 5%,5 to 10%,5 to 15%,10 to 15%,B,[Rule: 171 (i)],32.
Period for which Performance Security should remain valid beyond the date of completion of all contractual obligations of the supplier including warranty obligations?,30 days,45 days,60 days,90 days,C,[Rule: 171 (ii)],33.
Advance payments for procurement of goods and services may be made in cases advance payment demanded,"by firms holding maintenance contracts for servicing of Air- conditioners, computers, other costly equipment, etc. by firms against fabrication contracts, turn-key contracts etc.",by firms supplying high value machinery and plants.,by firms supplying scientific and technical items,by firms supplying items are located abroad.,A,[Rule: 172 (1) (i) (ii)],34.
"In case of advance to private firms, it should not exceed:",10%  of the contract value,20%  of the contract value,30%  of the contract value,50%  of the contract value,C,[Rule: 172 (1) (ii) (a)],35.
"In case of advance to a State or Central Government agency or a Public Sector Undertaking, it should not exceed:",20%  of the contract value,25%  of the contract value,30%  of the contract value,40%  of the contract value,D,[Rule: 172 (1) (ii) (b)],36.
"In case of maintenance contract, the amount of advance should not exceed the amount payable for",2 months under the contract.,3 month sunder the contract,6 month sunder the contract,12 months under the contract,C,[Rule: 172 (1) (ii) (c)],37.
Ministries or Departments of the Central Government may relax the ceilings (including percentage laid down for advance payment for private firms) in consultation with,CGA,CA&G,their Principal Accounts Officer,their Financial Advisers,D,[Rule: 172 (1) (ii) (c)],38.
"State whether true or false       if a firm quotes NIL charges/consideration, the bid shall be given priority and be treated as lowest one as it will most economical to the State'",True,False,,,B,[Rule: 173 (1) (h)],39.
"In case a purchase Committee is constituted to purchase or recommend the procurement, no member of the purchase Committee should be reporting directly to any other member of such Committee in cases estimated value of procurement exceeds",Rs. 10 lakhs,Rs. 25 lakhs,Rs. 50 lakhs,Rs. 1 crore,B,[Rule: 173 (xxii)],40.
State whether true or false       Disclosure by the bidder of any previous transgressions made in respect of code of integrity with any entity in any country during the last five (05) years or of being debarred by any other procuring entity.,True,False,,,B,[Rule: 175 (1) (iii). For last 3 years and not 5 years],41.
Services typically involve providing expert or strategic advice is called,Consulting Service,Non-consulting Services,Advisory Services,Management Services,A,[Rule: 177],42.
"Preparation of a long list of potential consultants may be done on the basis of formal or informal enquiries from other Ministries or Departments or Organizations involved in similar activities, Chambers of Commerce & Industry, Association of consultancy firms etc. Where the estimated cost of the consulting service is up to Rupees",10 lakh,15 lakh,25 lakh,40 lakh,C,[Rule: 183 (i)],43.
'Expression of Interest' should be sought where the estimated cost of the consulting services is,above Rs. 20,above Rs. 25 lakh,up-to Rs. 20 lakh,up-to Rs. 25 lakh,B,[Rule: 183 (ii)],44.
The number of short listed consultants should,not be less than three.,be more than three,not be less than six,be more than six,A,[Rule: 184],45.
RFP stands for,Requirement for Procurement,Request for Procurement,Request for Purchase & Payment,Request for Proposal,D,[Rule: 186],46.
Technical bids should be analysed and evaluated by a,Consultancy Evaluation Committee (CEC) constituted by the Ministry or Department.,Consultancy Evaluation Committee (CEC) constituted by the Ministry of Finance,Consultancy Evaluation Committee (CEC) constituted by Head of Department,Consultancy Evaluation Committee (CEC) constituted by the Parliament.,A,[Rule: 189],47.
QCBS stands for,Quality Control & Budgeting System,Quality and Cost Based Selection,Quality Control Based Selection,Quality and Cost Based Supply,B,[Rule: 192],48.
The weight age of the technical parameters i.e. non- financial parameters in no case should exceed,30%,50%,60%,80%,D,[Rule: 192 (iv)],49.
"Services which involve physical, measurable deliverables/outcomes, where performance standards can be clearly identified and consistently applied, are classified as",Contingent Services,Labour Services,Non-consulting Services,Work Charged Services,C,[Rule: 197],50.
Pick the incorrect one,"For identification of likely contractors the Ministry or Department should prepare a list of likely and potential contractors on the basis of formal or informal enquiries from other Ministries or Departments and Organisations involved in similar activities, scrutiny of 'Yellow pages', and trade journals, if available, web site etc.",The number of the identified contractors for issuing limited tender enquiry for estimated value of the non-consulting service up-to Rs.10 lakhs should not be less than six.,For estimated value of the non-consulting service above Rs.10 lakhs The Ministry or Department should issue advertisement in such case should be given on Central Public Procurement Portal (CPPP),None (All of the above are correct),B,[Rule: 201 (i)],51.
