question,option_a,option_b,option_c,option_d,answer,hint,srno
"The general principles regulating the classification and incidence of Pay, Allowances, Leave Salaries, etc. of Government servants are contained in",Receipt and Payment Rules 1893,Government Accounting Rules 1990.,Civil Account Manual,Central Public Work Accounts Code Volume III,B,,45.
Pick the incorrect one,The general directions for regulating the exhibition of recoveries of expenditure in Government account are given in Chapter 5 of the Government Accounting Rules 1990,all recoveries of expenditure will be taken as reduction under the concerned Service head irrespective of whether they relate to overpayments pertaining to the current year or to any previous year,Recoveries under stock and other suspense account should be treated as reduction of gross expenditure.,None of the given,D ,,46.
"The recoveries of expenditure on work in progress comprising, inter-alia, sale proceeds of surplus materials and plant acquired specially for any work or of materials received from dismantled structures, is treated as","reduction of expenditure, irrespective of whether the estimates for the works made allowance for such recoveries or not","reduction of expenditure, when the estimates for the works made allowance for such recoveries else miscellaneous receipt.","Miscellaneous receipt, irrespective of whether the estimates for the works made allowance for such recoveries or not","Miscellaneous receipt, when the estimates for the works made allowance for such recoveries else reduction of expenditure",A ,,47.
Pick the correct regarding treatment of recoveries of establishment charges and Tools and Plant charges on percentage basis,deduction from expenditure under the minor head “Directions and Administration and Tools and Plant respectively when effected from other departments of the Union Government and revenue receipts when effected from private parties or Local funds or other Governments,deduction from expenditure under the minor head “Directions and Administration and Tools and Plant respectively whether effected from other departments of the Union Government or private parties or Local funds or other Governments,Revenue receipt whether effected from other departments of the Union Government or private parties or Local funds or other Governments,revenue receipts when effected from other departments of the Union Government and deduction from expenditure under the minor head “Directions and Administration and Tools and Plant respectively when effected from private parties or Local funds or other Governments,A ,,48.
Pro-rata share of the charges for joint establishment and tools and plant is calculated,at the end of the month,at the end of the year,at the close of the account of the work,Any of the above being more convenient.,B ,,49.
The pro-rata shares for joint establishment and tools and plant calculated should be treated as,revenue receipt under the minor head “Direction and Administration” and “Tools and Plant respectively,miscellaneous receipt under the minor head “Direction and Administration” and “Tools and Plant respectively,reduction of expenditure under the minor head “Direction and Administration” and “Tools and Plant respectively,miscellaneous expenditure under the minor head “Direction and Administration” and “Tools and Plant respectively,C ,,50.
Pick the correct one,recoveries representing leave should be treated as revenue receipts under the Public Works major head concerned,"Recoveries on account of pensionary contributions should in the case of ‘Civil Works’ be credited to “0071 while such recoveries in the case of the Irrigation Department should be credited to the Irrigation Major head concerned as receipts or recoveries of expenditure, accordingly as they relate to Revenue or Capital Major Head","in which the rates for leave and pension contributions are combined, the recoveries in the case of Civil Works, should be taken to “0071 while such recoveries in the case of Irrigation Department should be credited to the Irrigation Major heads concerned as revenue receipts",All of the above,D ,,51.
Recoveries on account of pensionary contributions in respect of Irrigation work falling under Major Head 4701 will be classified as,Revenue receipt under Major Head 0701,Recovery of Expenditure under Major Head 2701,Revenue Receipt under Major Head 0071,Recovery of Expenditure under Major Head 4701,D ,,52.
Recoveries on account of pensionary contributions in respect of Irrigation work falling under Major Head 2701 will be classified as,Revenue receipt under Major Head 0701,Recovery of Expenditure under Major Head 2701,Revenue Receipt under Major Head 0071,Recovery of Expenditure under Major Head 4701,A ,,53.
Pick the incorrect one,"Receipts and recoveries on Capital Account in so far as they represent recoveries on expenditure previously debited to a capital major head, should be taken in reduction of expenditure under the major head concerned.",Such receipts and recoveries should be treated as revenue receipts in the first instance and booked as “Receipts and Recoveries on Capital Account.,At the end of the year they should be deducted from the account of the division or sub-division of the major head concerned in a lump-sum.,None of the given,C ,,54.
Pick the correct one,"The recoveries of expenditure which are finally creditable as revenue receipts, should be recorded under the minor head “Recovery of Percentage charges” of the major head “0059” or “0071” as the case may be","The recoveries of expenditure which are adjustable in reduction of expenditure under the capital major head, should be posted as “Deduct – Establishment charges transferred pro rata to other capital Major Heads” under the minor head “Direction and Administration” of the capital major head concerned",Neither of the above,Both A&B,D ,,55.
"State whether True or False Receipts on account of sale proceeds of land, buildings, special tools and plant or other assets purchased or constructed as the cost of special project may be at the discretion of the Government be taken in reduction of expenditure under the appropriate sub-heads subordinate to the capital major head concerned",True,False,,,A ,,56.
Pick the correct one regarding recoveries on account of cost of audit and accounts,"These recoveries, when they are made in connection with work done for Railways, Defence Services, Postal or Telecommunication Department should be treated as reduction of expenditure under “2016 –Audit”","In the case of work done for non-Government bodies or individuals, such recoveries should be adjusted as receipts under the minor head “Fees for Government Audit” subordinates to the major head “0016-Audit”",Both A&B,None of the given,A ,,57.
"Percentage charges for work done in workshops of a quasi-commercial character for other Divisions and departments both under the Union Government and other Governments, include recoveries in respect of audit and accounts charges, such recoveries should",credited to 2016-Audit,credited to 0075- Misc. Administration Services,not be credited to “2016- Audit” or 0075 – Miscellaneous Administration Services,credited to major head of work concerned.,C ,,58.
Number of statements under Appendix 2 to CPWA Code,three,five,four,seven,B ,,59.
Pick the incorrect one,"Statement A- Main classification of Expenditure pertaining to Irrigation, Navigation, Embankment and Drainage Projects.","Statement B- Detailed classification of Expenditure pertaining to Irrigation, Navigation, Embankment and Drainage Projects.",Statement C- Detailed head classification,Statement D- Treatment of recoveries of Expenditure in the accounts of the PWD,D,,60.
