question,option_a,option_b,option_c,option_d,answer,hint,srno
"Adjustment of the charges on account of gross expenditure on the common establishments, of PWD Buildings and Road Branch means to concerned Capital Major Head may be done",yearly,monthly,as and when account of the work is closed,fortnightly,B ,,12.
The second and final stage of distribution of the establishment charges under  ‘Direction and Administration ‘ below  ‘2059 will be in respect of the works charged to the major heads,2216,3054,2216 and 3054,"2216, 3054 and 2701",C ,,13.
The second and final stage of distribution of the establishment charges under  ‘Direction and Administration ‘ below  ‘2059 is made,at the end of the month,at the close of quarter,at the close of six-monthly account,at the end of the year,D ,,14.
Pick the correct one,"The amount for distribution of charges on common establishment at second stage is arrived at by notionally deducting the amounts recovered during the year from other Governments, Local bodies etc. on percentage basis for works done on their behalf and credited to Public Works as revenue",a pro-rata distribution of the charges to  ‘2216 – Housing ‘ and  ‘3054 – Roads and Bridges ‘ will be made according to works outlay recorded under these major heads vis-à-vis the total revenue expenditure on Public Works (Construction) in all Major Heads in the Revenue Section,"The distributable amounts so calculated will be adjusted from  ‘2059- Public Works ‘, through a deduct Sub-head  ‘Establishment Charges ‘ transferred pro-rata to  ‘Housing ‘/ ‘Roads and Bridges ‘, by per contra debit to  ‘2216 Housing Direction and Administration ‘, and ‘3054 – Roads and Bridges Direction and Administration’, respectively",All of the above.,D ,,15.
The pro-rata adjustment of charges on common establishment will be carried out by,Accounts Officer,Superintendent Engineer,Chief Engineer,Divisional officer,A ,,16.
Pick the incorrect one,"The basis for determining the slab for levying the establishment charges shall be the estimated cost of a work, though the actual adjustment of percentage charges should be made on the expenditure incurred during the year.","Departmental Charges, including pensionary and audit charges should not be levied on all works, the cost of which is met from the detailed head  ‘Grants-in-aid ‘ under the relevant programme minor head under the Major Head  ‘2059 – Public Works ‘.",Both A&B,None of the given,B ,,17.
For works other than those executed by the Central PWD,"Administrative Ministry/Administrator concerned are authorized to fix the percentage rates in consultation with the Accounts Officer, on condition that the percentages so fixed are not less than the actual average cost per Rs.1000 of outlay on works in the Administrative Ministry/Administration concerned during the previous five years.","Administrative Ministry/Administrator concerned are authorized to fix the percentage rates in consultation with the Accounts Officer, on condition that the percentages so fixed are not less than the actual average cost per Rs.1000 of outlay on works in the Administrative Ministry/Administration concerned during the previous three years.","Administrative Ministry/Administrator concerned are authorized to fix the percentage rates in consultation with the Accounts Officer, on condition that the percentages so fixed are not less than the actual average cost per Rs.100 of outlay on works in the Administrative Ministry/Administration concerned during the previous five years.","Administrative Ministry/Administrator concerned are authorized to fix the percentage rates in consultation with the Accounts Officer, on condition that the percentages so fixed are not less than the actual average cost per Rs.1000 of outlay on works in the Administrative Ministry/Administration concerned during the previous three years.",C ,,18.
"State whether true or false When only some of the operations necessary to the completion of a non- Government project are undertaken at one time different percentages may, if desired, be adopted for each operation, provided that if subsequently the remaining operations are undertaken, the aggregate recovery is equal to the full charge leviable under this rule.",True,False,,,A ,,19.
"The percentage fixed by Administrative Ministry/Administrator should be examined and readjusted, if necessary, after consultation with the Accounts Officer once in every",five years,two years,four years,three years,D,,20.
"In calculating departmental charges in respect of works executed on behalf of Central & Commercial concerns (including the Ministry of Defence), other Government and non-Government bodies or individuals",one percent should be deducted on account of pensionary contributions.,one percent should be added on account of pensionary contributions,two percent should be deducted on account of pensionary contributions,two percent should be added on account of pensionary contributions,B ,,21.
"An additional charge of one percent, should be recovered in respect of works done for Railways, Postal or Telecom Department, All India Radio (except monitoring service), Department of Overseas Communication Service and non-Government bodies or individuals to cover the cost of",audit and accounts establishment,Establishment,pensionary,Tools and Plant,A ,,22.
Pick the correct one,No share of general charges on account of establishment and tools and plant should be included in the actual cost of works chargeable against the Famine Relief Fund,"No share of general charges on account of establishment, tools and plant and pensionary charges should be included in the actual cost of works chargeable against the Central Road Fund",No share of general charges on account of establishment and tools and plant should be included in the actual cost of works chargeable against the Central Road Fund,"No share of general charges on account of establishment, tools and plant and pensionary charges should be included in the actual cost of works chargeable against the Famine Relief Fund",C ,,23.
PWD and Military Engineering Service (MES) should not charge an additional charge of one percent to cover the cost of Audit and Accounts of works against the work executed on behalf of each other (Civil and Defence) w.e.f,1984-85,1991-92,1976-77,1971-72,D ,,24.
The prescribed percentages may be remitted by the Administrative Ministry/Administrator concerned in the case of non-Government works costing,"less than Rs.10,000","less than Rs.1,000","less than Rs.1,00,000","less than Rs.50,000",B ,,25.
"In the case of works costing Rs.1000 and over, the Administrative Ministry/Administrator concerned are authorized to sanction a cash contribution up-to the actual amount of establishment and tools and plant etc., charges leviable under Rule in favour of a",local body,private individual.,Foreign institution,All of the above,A ,,26.
Pick the correct one,"For works done in workshops which are of a quasi-commercial character, percentage charges should be levied in all cases except the work is done for PW Divisions of the same Administration.",The rates may be fixed by the Administrative Ministry/Administrator concerned in consultation with the Accounts Officer.,Both A&B,None of the given,B ,,27.
The percentage charges may be so regulated even in the case of jobs executed for other divisions and departments both under Union Government and other Governments as to include prescribed percentage charges for,Establishment,Tools and plant,audit and accounts,Pensionary account,C ,,28.
Pick the correct one,"Where a work involves little or no supervision, the prescribed percentage charges for Establishment should not be levied","In the case of non-Government works on which Tools and Plant of the department are not used, the prescribed percentage charges for tools and plant should not be levied","Where a work involves little or no supervision and on which tools and plant of the department are not used, the prescribed percentage charges for Establishment and Tools and Plant should not be levied","In the case of non-Government works on which involves little or no supervision and Tools and Plant of the department are not used, the prescribed percentage charges for Establishment, Tools and Plant and Pensionary account should not be levied",B ,,29.
Pick the correct one regarding charging the prescribed percentage when the cost of land acquired through the district and revenue authorities,percentage charge is leviable on account of it when it is adjusted in the divisional accounts as part of the cost of a non-Government work,no percentage charge is leviable on account of it if it is not included in the estimate for the work and is not passed through the Public Works accounts,percentage charge is leviable on account of it whether it is adjusted in the divisional accounts as part of the cost of a non-Government work or is not passed through the Public Works accounts,no percentage charge is leviable on account of it whether it is adjusted in the divisional accounts as part of the cost of a non-Government work or is not passed through the Public Works accounts,A,,30.
Pick the correct one,"The adjustment of recoveries on account of department charges is made once a year in March, except in the cases of Deposit Works (see paragraph 16.2.4). Local Loan Works, Takavi Works and works done occasionally for other departments, Governments, etc.",In the case of Capital Works the adjustment may be done monthly,Both A&B,None of the above,C ,,31.
"In the case of workshops of a quasi-commercial character, any other work, for which special establishment is entertained, the Administrative Ministry/Administrator may fix an addition of such percentage, limited to",1 percent of the cost of this establishment,2 percent of the cost of this establishment,3 percent of the cost of this establishment,5 percent of the cost of this establishment,D ,,32.
"For allotment of funds, it is necessary, to include in the estimates for individual works, any provision on account of establishment and tools and plant charges, unless percentage charges levied by other Governments or departments are, under the rules, included in the cost of work.",True,False,,,B ,,33.
"The cost of special tools and plant (such as cranes, etc.) debited to a single head in the accounts may be distributed over the several sub-heads of works in accordance with such methods as",the Administrative Ministry/Administrator concerned may determine in consultation with the Accounts Officer.,the Accounts Officer concerned may determine in consultation with the Administrative Ministry/Administrator,the Executive Engineer concerned may determine in consultation with the Accounts Officer.,the Chief Engineer concerned may determine in consultation with the Accounts Officer.,A ,,34.
"The maximum and minimum percentage of Departmental Charge (Establishment, Tools & Plant, Audit and Accounts and Pensionary Charge) depending upon the cost of project is",23.75%-9%,23.75%-7%,22.75 %-5%,22.75%-11%,B ,,35.
Percentage charge of the component of Departmental Charge which remain same irrespective the cost of work,Establishment & Tools and Plant,Tools and Plant & Pensionary Charge,Audit & Account and Pensionary Charge,Tools and Plant & Audit and Account,C ,,36.
Pick the incorrectly matched,All Maintenance works and minor works costing up-to Rs.one lakh- 23.75%,Construction works costing up-to Rs. two crores-12%,Construction works costing over Rs. two crores-7%,none of the given,C ,,37.
The maximum and minimum percentage leviable for Tools and Plant charge is,0.75%- 0.50%,1%-.5%,0.5%- 0.25%,0.75%- 0.25%,A ,,38.
The maximum and minimum percentage leviable for Establishment is,22.5 -10.75%,22.5-8%,22.5-9%,22.5-6%,D ,,39.
Pick the correct one,In the case of works for CGHS where architectural services are provided by Central Design Bureau of CGHS necessary rebate @ 1% has to be given in Establishment Charges,"The DDA will be allowed a rebate in the departmental charges on account of preparation of preliminary sketches, and detailed architectural drawings relating to their works.",No Departmental Charges for Government works and those of autonomous bodies fully funded by Central Government effective from 27.09.2001,All of the above,D,,40.
