question,option_a,option_b,option_c,option_d,answer,hint,srno
"When the entries against a treasury in the Compilation Book have been posted and proved,","the payments for the month at the treasury under each detailed head including ""Refunds"" should be brought together in the Compilation Book for the first schedule","the payments for the month at the treasury under each detailed head except ""Refunds"" should be brought together in the Compilation Book for the first schedule.","the payments for the month at the treasury under each detailed head including ""Refunds"" should be brought together in the Compilation Book for the second schedule","the payments for the month at the treasury under each detailed head except ""Refunds"" should be brought together in the Compilation Book for the second schedule",B ,,24.
The month's total payments as shown in the second schedule of payments should also be posted,in part (5) as a plus entry under the Remittance head 8782-Deptt. Adjusting of the Deptt. A/c,in part (5) as a Minus entry under the Remittance head 8782-Deptt. Adjusting of the Deptt. A/c,in part (5) as a plus entry under the suspense head 8658-Deptt. Adjusting of the Deptt. A/c,in part (5) as a Minus entry under the suspense head 8658-Deptt. Adjusting of the Deptt. A/c,D ,,25.
The total of Part 4 and Part 5 of abstract against each treasury will agree with the difference between the amount of a,"Recoveries from payment vouchers for credit to Provident Funds, etc. as posted in part one (1)",Payments at the treasury on account of refunds of revenue as posted in part three (3),Both A&B,None of the given,D ,,26.
The final stage in the completion of the abstract is,the preparation of the proof sheets in parts (6) and (7),the preparation of the proof sheets in parts (7) and (8),the preparation of the closing sheet in parts (6) and (7),the preparation of the closing sheet in parts (7) and (8),A ,,27.
Pick the correct one,The Classified Abstract test checked by the Section Officer and duly passed by the Gazetted officerin-charge should be utilised as the basis of Consolidated Abstract,The Classified Abstract test checked by the Gazetted officer-in-charge and duly passed by the Group officer-in-charge should be utilised as the basis of Consolidated Abstract,The Classified Abstract test checked by the Gazetted officer-in-charge and duly passed by the Accountant General should be utilised as the basis of Consolidated Abstract,The Classified Abstract test checked by the Group officer-in-charge and duly passed by the Accountant General should be utilised as the basis of Consolidated Abstract,A ,,28.
Section Officer is responsible for the correctness of the posting in the compilation book in respect of,any major head account and for the tracing of the entry in the classified abstract items of over Rs. 10000/-,any major head account and for the tracing of the entry in the classified abstract items of over Rs. 2500/,any detailed head account and for the tracing of the entry in the classified abstract items of over Rs. 10000/-,any detailed head account and for the tracing of the entry in the classified abstract items of over Rs. 2500/,D ,,29.
Gazetted Officer-in-Charge is responsible for the correctness of the posting in the compilation book in respect of,any major head account and for the tracing of the entry in the classified abstract items of over Rs. 5000/-,any major head account and for the tracing of the entry in the classified abstract items of over Rs. 10000/,any detailed head account and for the tracing of the entry in the classified abstract items of over Rs. 10000/-,any detailed head account and for the tracing of the entry in the classified abstract items of over Rs. 5000/,C,,30.
Pick the correct one,"In respect of receipts, the treasury accounts rendered to AG’s Office indicates in the receipt schedules the receipts classified by Major, Minor and Detailed Heads of accounts with details of individual receipt.","In respect of receipts which cannot be so classified, full details are furnished separately on the basis of which the receipts are classified in Accounts Offices under the relevant Major. Minor and Detailed Heads of Account.",Both A&B,None of the given,B ,,31.
Departmental Consolidated Abstracts of Revenue receipts and Service payments are prepared from Departmental Classified Abstract in,Form AC 22,Form AC 21,Form AC 24,Form AC 23,A ,,32.
"State whether true or false Columns in Departmental Consolidated Abstract provided for monthly progressive totals under major heads, minor heads, sub-division of a minor head, and detailed heads in their proper place",True,False,,,A ,,33.
Pick the correct one,Progressive totals for each sub-head of a Grant or unit of appropriation and for each major head should always be filled in,"In order to avoid unnecessary totalling, in other cases progressive totals may be filled in at the end of the year or whenever they are necessary",Both A&B,None of the given,C ,,34.
Every head of account for which a column is provided in the Departmental Classified Abstract must appear in the Departmental Consolidated Abstract,under the Revenue head concerned,under Service heads concerned,under the Revenue and Service Heads concerned,"under the Revenue, Service and Debt Heads concerned",C ,,35.
The Consolidated Abstract duly agreed with corresponding totals in the Departmental Classified Abstract should be sent to the,Fund Section,Book Section,Audit Section,Treasury Section,B ,,36.
For the transactions brought to account in the Classified Abstract of treasury payments of the Public Works Department,No. separate Consolidated Abstract need be prepared,separate Consolidated Abstract need be prepared,separate or no separate Consolidated Abstract need be prepared as directed by the State Government,separate or no separate Consolidated Abstract need be prepared as directed by the Accountant General,A ,,37.
Pick the incorrect one,Book Section prepares consolidated monthly and annual accounts for the account circle as a whole,The Works Audit Department is AG office compile the Classified Abstracts of Public Works transactions from the monthly accounts received from the Public Works Divisions,"If section officer finds figures under any head are so abnormally high or low as compared with those of the previous months, he should raise a doubt whether there has been misposting misclassification and scrutinise before submitted to Gazetted officer in Charge",None of the given,D ,,38.
If an item in a transfer entry has to be taken to a head in Departmental account in the accounts of the same Government it should be classified in the transfer entry as pertaining to the suspense head,unclassified account,Departmental Adjusting Account relating to the other department,accounts awaiting settlement,PAO Suspense,A ,,39.
Pick the incorrect one,"The transfer entry with the necessary suspense slip should be sent, for acceptance and return to the section which maintains the Detail Book or Departmental Abstract in which the transferred item will be finally adjusted","When received back with acceptance, the transfer entry will be posted in the Combined Transfer Ledger and Abstract in form AC 24","If an item of receipt or payment relating to the Central Govt. other than Central Pensions is wrongly included in the schedule of State receipts or payments and vice versa, the amount should be credited or debited to PAO Suspense under 8658",None of the given,B ,,40.
The relevant particulars of wrongly included transactions should be passed on to the Section dealing with Inter-Govt. Settlement Account generally known as,Central Section,State Section,Account Current Section,Suspense Section,C ,,41.
"In respect of items of receipt/payment relating to CENTRAL PENSIONS wrongly included in the State schedule of receipts or payments and vice versa the amount should be credited or debited as the case may be, to the head",8786 Adjusting Account between Central & State Government.,8658 Adjusting Account between Central & State Government,8680 Adjusting Account between Central & State Government.,8793 Adjusting Account between Central & State Government,A ,,42.
The recoveries of overpayments whether made in cash or from payment vouchers shall be posted direct under the service head concerned in the Compilation Book as,Reduction of expenditure if they relate to overpayment pertaining to the current year,Reduction of expenditure if they relate to overpayment pertaining to any previous year,Reduction of expenditure whether they relate to overpayment pertaining to the current year or to any previous year,Reduction of expenditure if they relate to overpayment pertaining to the current year and miscellaneous receipt if they relate to overpayment pertaining to any previous year.,C ,,43.
State whether true or false If a recovery representing an over payment of the current year is made by short payment of an item debitable to the same detailed head or other detailed head no separate adjustment is needed,True,False,,,B ,,44.
As only the decrease/increase in cash balances during a month is shown in receipt/ payment side of the Divisional Accounts the differences between the opening and the closing balance shall be credited/debited under the head,8670-PW Departmental Cash Balances,8782-PW Departmental Cash Balances,8672-PW Departmental Cash Balances,8671-PW Departmental Cash Balances,D,,45.
"Public Works Classified Abstract is the main record, so far as the entire account circle is concerned, in respect of i. Revenue receipt and receipts and recoveries on capital account ii. Refund of Revenue iii. Other expenditure iv. Debt and remittance transactions","i, ii and iii","ii, iii and iv","i, ii and iv",All of the above,D ,,46.
The amount of other details to be recorded either in the classified abstracts or in the works audit summaries shall be prescribed by the,State Government,Accountant General,Either of State Government or AG,Both State Govt. and AG,B ,,47.
Pick the correct one,The subsidiary summaries maintained in the Works Audit Department known as the Works Audit Summaries,The information contained in these summaries may be utilised for preparation of the statements required for Finance Accounts and the Combined Finance und Revenue Accounts of the Central and State Governments as well as any proforma annual accounts,Both A&B,None of the given,C ,,48.
"For the purpose of either furnishing statistical information required by Government or of facilitating preparation of State Summaries, Divisional summaries are prepared",monthly,yearly,quarterly,monthly or as often in a year as may be necessary,D ,,49.
It is essential that the total of the transactions of the year for the entire circle of accounts under each head excluded from the classified abstract should be worked out through Works Audit Summaries at close of the,year,each month,each quarter,March and September,A ,,50.
Works Audit Register is prescribed by the,AG,CAG,State Government,CGA,B ,,51.
The forms of the summaries may be prescribed by the,AG according to local requirements,State Govt. according to local requirements,CAG,CGA,A ,,52.
"In respect of revenue and expenditure transactions connected with works of the Central Government Departments, the execution of which is entrusted to the Public Works Department as a standing arrangement, the AG acts as",Main Accounts Officer,Sub-Accounts Officer,Both A&B,None of the above,B ,,53.
Revenue and expenditure transactions of the Public Works Department which are brought to account direct on the books of the AG will,"enter the Monthly Accounts of Divisional Officers and therefore, be included in the Works Audit Registers as well as the summaries of the Works Audit Department",enter the Monthly Accounts of Divisional Officers but be excluded from the Works Audit Registers as well as the summaries of the Works Audit Department,not enter the Monthly Accounts of Divisional Officers but be included in the Works Audit Registers as well as the summaries of the Works Audit Department,"not enter the Monthly Accounts of Divisional Officers and will, therefore, be excluded from the Works Audit Registers as well as the summaries of the Works Audit Department",D ,,54.
Pick the correct one,Revenue and expenditure transactions of the Public Works Department which are brought to account direct on the books of the AG should ordinarily be entered in the Departmental Classified Abstract in full detail,"If the AG finds it more convenient, the details below the units of appropriation may be excluded from the Departmental Classified Abstract",Both A&B,None of the given,C ,,55.
State whether true or false The Consolidated abstract of the State Public Works transactions prepared from the account in the monthly Classified Abstracts,True,False,,,A ,,56.
The Classified Abstract and Consolidated Abstract of PWD shall,be in different form from the Classified Abstract and Consolidated Abstract for other Department,be in the same form as the Classified Abstract and Consolidated Abstract for other Department,be either in same or different form from the Classified Abstract and Consolidated Abstract for other Department as directed by the State government,be either in same or different form from the Classified Abstract and Consolidated Abstract for other Department as directed by the Accountant General.,B ,,57.
"The transactions accounted for by the Forest Officers under the heads ""Book Transfers-Government of the State of---"" should be shown by the AG in the Classified Abstract under the head",8550,8658,8782,8793,D ,,58.
"The expenditure shown in these compiled accounts of departmental officers are to be brought to account under the relevant major minor sub-head of account, affording",Contra Cr. to 8670 Cheque-Bill,Contra Dr. to 8670 Cheque-Bill,Contra Cr. to 8782 Remittance,Contra Dr. to 8782 Remittance,A ,,59.
The paid cheques received from the bank by the treasury/PAO will be forwarded to the AG along with the,monthly scrolls,fortnightly scrolls,weekly scrolls,daily scrolls,D,,60.
The last stage before handing over the Cash Account and the List of Payments of a treasury to the Book Department should be the posting of the balances and the totals in the Statement of,Drawers’ accounts,Disbursers’ accounts,PAO’s accounts,All of the above,B ,,61.
Pick the correct one,Statement of Disbursers' Accounts should be maintained separately for Central and State transactions in Form AC 2,"The entries of Central and State transactions relating to the treasury, the figures being taken from the Opening Abstract appended to the Cash Accounts.",Both A&B,None of the given,A ,,62.
The designation of the clerk in a Civil Account Office who is responsible for the adjustment of the entire treasury account of a district,Section Auditor,District Auditor,State Auditor,Departmental Auditor,B ,,63.
The entries in the Statements of Disbursers' Accounts should be made in the same order as is observed in the,Cash Balance Report,Accounts Summary Report,Deposit with RBI report,Cash Disbursement Report.,A ,,64.
Remittances in Transit–Local is a minor head under major head,8782,8675,8785,8999,D ,,65.
Opening balance and closing amount of local remittances in transit are taken from the,Cash Deposit Register,Cash Balance Register,Remittance Check Register,Remittance Balance Register,C ,,66.
The entire amount of the opening balance and closing balance of local remittances in transit should be posted under,Disbursement,Receipt respectively,Disbursement & Receipt respectively,Receipt & Disbursement respectively,C ,,67.
Pick the correct,"The amounts entered in Cash Balance as receipts and disbursements are also posted into the Detail Books as receipts and disbursements, respectively.","These are accounted under the head ""Remittances in Transit Local"" per contra debit or credit to the head ""Cash Remittance between Treasuries and currency chests""",Both A&B,None of the given,C ,,68.
The Statements of Disbursers' Accounts must be completed by incorporating the amounts which pass into the Detail Books through the Combined Transfer Ledger and Abstract in,the Book Department,the Fund Department,the Account Department,the Cash Department,A ,,69.
"In the Account office where the departmental system of account is followed, the drawing up of the abstract may he discontinued at the discretion of the",Administrative department,State Government,Accountant General,Accounts Officer,D ,,70.
"Deposits-State"" should be entered in the State Statement from where entry in Detail Book is made receipt or disbursement as the case may be against the head",Reserve Bank Deposit,Cash Balance,Departmental Balances,All of the above,A ,,71.
Pick the incorrect one,The Statement of Disbursers’ Accounts brings together the aggregate of the months' receipts and payments with the opening and closing balances of all officers rendering accounts to the AG,The Statement of Disbursers’ Accounts furnishes an effective check on the grand totals of the several Consolidated Abstracts as made Cut in the Abstract of Major Head Totals,The Consolidated Abstracts show the amount received and paid by all Accountants whereas the Statements of Disbursers' Accounts show the amounts received and paid on all accounts,None of the given.,C ,,72.
Procedure of Inter-Govt. Transactions & adjustment includes,"By sending advices to the Central Accounts Section (CAS) of the RBI, Nagpur, by the Accounts Officers. These are initially treated generally as ""Remittance transactions"" by the Civil Accountants General",By actual cash settlement through cheques and drafts being exchanged between the Accounts officers concerned,Both A&B,None of the given,C ,,73.
Cases of adjustment through CAS i. Repayment of loan and interest to Central Government ii. The special case of pensions (including commuted value) in respect of retired High Court Judges paid through State Treasuries or Public Sector Banks iii. Transactions connected with RBI Remittances occurring in State Non-banking treasuries/subtreasuries iv. Accounts of Inter-State Suspense' i.e. transactions between States inter-se v. Such other cases as may be specifically prescribed by the President on the advice of the CAG.,"i, ii, iii and iv","ii, iii, iv and v","i, ii, iv and v",All of the above,D ,,74.
"All transactions adjustable through rendering advices to CAS, RBI shall initially be brought to account","Centre-8658, State-8793","Centra-8786, State-8793",Both Central and State-8658,Both Central and State-8793,B,,75.
In respect of the head Inter-State Suspense Accounts (8793) there shall be,sub-heads for each State Government,combined sub-head for all the all the State Govt.,Separate sub-head for all the State Govt. and separate sub-head for UT Govt.,single combined sub-head for all the all the State Govt. and UT Govt.,A ,,76.
State whether true or false In respect of Adjusting Account between Central and State Governments for each item of credit/debit there shall be a corresponding debit/credit under the same head under the Central Section of Accounts.,True,False,,,A ,,77.
Entry appearing in Adjusting Account between Central and State Governments,Credit (Payable to State Govt.) and Debit entry (Payable by the State Govt.),Credit (Payable by the State Govt.) and Debit entry (Payable to State Govt.),Either A or B,Neither A nor B,B ,,78.
Central transactions appearing in Adjusting Account between Central and State Government shall be settled,monthly,daily,fortnightly or at other prescribed intervals without waiting for the closure of a month's account.,weekly or at other prescribed intervals without waiting for the closure of a month’s account.,D ,,79.
Central transactions appearing in Adjusting Account between Central and State Government should be consolidated by the AG in Part-I of the Register of adjustments with the Reserve Bank in Form,AC 4,AC 5,AC 3,AC 6,C ,,80.
"Advices for making necessary transfers of the balances between the Central and State Governments should be sent by the AG to CAS, RBI him in Form",AC 4,AC 5,AC 3,AC 6,A ,,81.
"Other Inter-Government transactions including those relating to ""Inter-State Suspense Accounts, whether appearing in the Treasury/Department or other inward settlement Accounts, or originating in the books of the AG by transfer entries, should usually be advised to the CAS, RBI, Nagpur for adjustment",Once a week,once a month,once a fortnight,once a quarter,B ,,82.
Central transactions appearing in Adjusting Account between Central and State Government is not operated in respect of,Pension of Freedom Fighter,Social Security Scheme,Repayment of loan and interest,All of the above,C ,,83.
"In respect of repayment of central loan & Interest, advice by the AG to CAS RBI by",debiting Head Central Accounts Office-RBI Suspense under Major Head (8658) and per contra credit to relevant public debt/Interest head,crediting Head Central Accounts Office-RBI Suspense under Major Head (8658) and per contra debit to relevant public debt/Interest head,debiting Head Central Accounts Office-RBI Deposit under Major Head (8675) and per contra credit to relevant public debt/Interest head,crediting Head Central Accounts Office-RBI Deposit under Major Head (8675) and per contra debit to relevant public debt/Interest head,B ,,84.
On receipt of the clearance memo from the Bank against advice of the AG for repayment of central loan & Interest accounting entries to be made in account,"by minus crediting the suspense head (8658) ""Central Accounts Office-RBI Suspense"" per contra credit to RBI Deposit 8675","by minus debiting the suspense head (8658) ""Central Accounts Office-RBI Suspense"" per contra credit to RBI Deposit 8675","by minus crediting the RBI Deposit (8675) ""Central Accounts Office-RBI Suspense"" per contra credit to Cash Balance 8999","by minus debiting the RBI Deposit (8675) ""Central Accounts Office-RBI Suspense"" per contra credit to Cash Balance 8999",A ,,85.
Pick the incorrect one,"The Central Accounts Section, RBI will carry out the adjustments in the accounts of a month, if the necessary advices relating to that month are communicated to it not later than the 7th of the following month.",A memo should invariably be sent to the Central Accounts Section of the Bank intimating the number and date of the last advice sent to the Bank for adjustment in the accounts of the previous month on 7th of the following month,"If 7th of the following month happens to be a holiday, the requisite memo shall be sent to the CAS on next working day.",None of the given,C ,,86.
"Inter-Government adjustments in respect of transaction pertaining to a financial year will not be carried out by the RBI in the accounts of that year, if the necessary advice is not sent by the",7th April of succeeding year,12th April of succeeding year,15th April of succeeding year,25th April of succeeding year,D ,,87.
"The inter-Government transactions for the month of March should be advised in batches to the CAS, Reserve Bank by telegram on the","5th, 15th and 25th of April or r previous day if these days happen to be a holiday","1st ,7th, 15th and 25th of April or previous day if these days happen to be a holiday","7th, 15th, 21st and 25th of April or previous day if these days happen to be a holiday","10th, 17th and 25th of April or previous day if these days happen to be a holiday",A ,,88.
Pick the correct one,"An advice of adjustment should be sent to the CAS, RBI on each of the batch dates, if adjustments exist to be communicated and no statement to be rendered when there are no adjustments to be communicated",The last advice to be issued on the 25th of April should include a certificate of the AG that no further adjustment will be intimated to the Bank for inclusion in the Accounts of the previous financial year,Both A&B,None of the given,B ,,89.
An inter-government transactions pertaining to a financial year that come to notice after 25th April of the following year,they should be left outstanding under the head Adjusting Account between Central and State Governments will be cleared following year through advice.,they should be cleared from the head Adjusting Account between Central and State Governments by transferring the same to Head 8680-General Misc Services and will be cleared following year through advice.,they should be left outstanding under the head Adjusting Account between Central and State Governments will be cleared following year through Cash Settlement.,they should be cleared from the head Adjusting Account between Central and State Governments by transferring the same to Head 8680-General Misc. Services and will be cleared following year through Cash Settlement.,A,,90.
Register of Adjustment & Advices to RBI is maintained in,AC 5,AC 6,AC 3,AC 4,C ,,91.
Register of Adjustment & Advices to RBI is maintained in,two parts,four parts,single part,three parts,D ,,92.
Pick the correct one regarding Register of Adjustment & Advices to RBI,Consolidation transactions involving adjustments between the Central and State Governments through the Bank in Part I.,The net total of the debits and credits worked out in this pat should be taken at the end of each prescribed period are taken to Part III of the register,The un-adjusted balance of the previous month under the bead 'Adjusting Account between Central and State Governments' as worked out in PART II of the Register should also be brought forward in Part III of the Register,All of the above,A ,,93.
"Adjustments between Central and State Governments which are initiated by the AG with the Bank, without passing on the transactions initially through the head should also be entered in part II",Part I of Register of Adjustment & Advices to RBI,Part II of Register of Adjustment & Advices to RBI,Part III of Register of Adjustment & Advices to RBI,None of the given,B ,,94.
"Advice for CAS, RBI should be prepared in AC 4 on the basis of information available in",Part I of Register of Adjustment & Advices to RBI,Part II of Register of Adjustment & Advices to RBI,Part III of Register of Adjustment & Advices to RBI,None of the given,B ,,95.
State whether true or false The credits and debits worked out in part III of the Register of Adjustment & Advices to RBI in a month should be agreed for Receipts and disbursements under the head with the State Detail Book,True,False,,,A ,,96.
"For inclusion in the next advice to the Bank, the unadjusted balance at the end of the month, should be transferred to",Part I of Register of Adjustment & Advices to RBI,Part II of Register of Adjustment & Advices to RBI,Part III of Register of Adjustment & Advices to RBI,None of the given,B ,,97.
Pick the correct one,Part III of the Register of Adjustment & Advices to RBI may at the discretion of the AG be posted direct from State Detail Books (Parts I),In such case the unadjusted balance at the end of the month worked out in the Register should be agreed with State Ledger AC27/AC28,The totals of Cr and Dr appearing under the head Adjusting Account between Central and State Governments appearing in the STATE SECTION of Accounts of an AG should agree respectively with the totals of Dr and Cr under the same head in the CENTRAL SECTION of Account.,All of the above,D ,,98.
The advices of adjustments in Form A.C 4 relating to a financial year issued to the Bank should be numbered serially for,Financial Year,Each Day,Each Month,Each Week,C ,,99.
Clearance Memo is prepared in,"AC 5 by CAS, RBI","AC 5 by CAS, AG","AC 6 by CAS, RBI","AC 6 by CAS, AG",A ,,100.
"On receipt of the Clearance Memo (AC 5) from CAS, RBI regarding adjustment made for the advice rendered by the AG",Dr/Cr to 8675 in the State Section of Accounts and per contra Cr/Dr to Adjusting Account and Cr/Dr to 8675 in the Central Section of Accounts and per contra Dr/Cr to Adjusting Account,Dr/Cr to 8675 in the State Section of Accounts and per contra Cr/Dr to Adjusting Account and Dr/Cr to 8675 in the Central Section of Accounts and per contra Cr/Dr to Adjusting Account,Dr/Cr to 8658 in the State Section of Accounts and per contra Cr/Dr to Adjusting Account and Cr/Dr to 8658 in the Central Section of Accounts and per contra Dr/Cr to Adjusting Account,Dr/Cr to 8658 in the State Section of Accounts and per contra Cr/Dr to Adjusting Account and Dr/Cr to 8658 in the Central Section of Accounts and per contra Cr/Dr to Adjusting Account,A ,,101.
"Pensions including commuted value of pensions in respect of retired High Courts Judges who have served under State Governments, subsequently recoverable from the State Government concerned, are",at first instance Charged on Consolidated Fund of State,at first instance Charged on Consolidated Fund of India,at first instance Voted Expenditure for the State Govt.,at first instance Voted Expenditure for the Central govt.,B ,,102.
The initial payment of Pensions including commuted value of pensions in respect of retired High Courts Judges made through Treasuries/Public Sector Banks should be debited directly against the,State Balance in Central Section,State Balance in State Section,Central Balance in Central Section,Central Balance in State Section,C ,,103.
Such pensions are shown as expenditure Charged on the Consolidated Fund of India in terms of Article 112 (3) (d) (iii) of the Constitution under the bead,4071,8680,2075,2071,D ,,104.
Pick the correct one,The actual recovery from the State Governments on account of initial pension to Judges of High Courts should be effected by operating upon the head Adjusting Account between Central and State Governments' and making adjustment with the State Governments through Cash Settlement,"Where the pensions are paid initially through a Public Sector Bank or a State Treasury located outside the jurisdiction of the State, the recovery of the pensions from the concerned State will be effected by the AG of the State in whose Central Section, the charges initially stand debited by Operating Inter State Suspense A/c (8793)",Both A&B,None of the given,B,,105.
In order to work out the net debit and credit all inter-State transactions brought to account in a month in the various accounts and abstracts in an AG’s office should be brought together for the whole account circle in,part III of the Register of Adjustments with the Reserve Bank in Form AC 3,part II of the Register of Adjustments with the Reserve Bank in Form AC 3,part II of the Register of Adjustments with the Reserve Bank in Form AC 4,part III of the Register of Adjustments with the Reserve Bank in Form AC 4,A ,,106.
Pick the incorrect one,Advice to RBI for effecting adjustment for Inter-State Suspense Account is prepared in Form AC 4,"Copies of the advice supported by schedules, vouchers and other papers' should be forwarded to the AG concerned to enable them to incorporate the transactions in their books.","On receipt of Clearance Memo (AC 5) from the CAS, the AG who initiated the adjustment, should clear the outstanding in his accounts by (-) Dr/Cr 8793 and Cr/Dr-8675",none of the given,C ,,107.
"State whether true or false When a copy of the same intimation is received by the other AG concerned, he should make an adjustment in the STATE SECTION OF HIS ACCOUNTS under the head CAS, RBI under the Major Head 8786 by per contra debit or credit to the head 8675-Deposits with RBI",True,False,,,B ,,108.
"The CAS, RBI will send to each AG a statement showing the sum total of adjustments made against the Central balance at his instance, together with a statement of closing balances of the State for the respective month by",10th of following month and in case of March 25th April,25th of the following month in case of March 10th May,15th of following month and in case of March 25th May,25th of the following month in case of March 15th April,B ,,109.
The accounts through which the transactions are initially accounted for under the head 'Inter-State Suspense Accounts and reported by one AG to the concerned AG are known as,Settlement Account,Current Account,Outstanding Account,Shadow Account,A ,,110.
Types of Settlement A/c are,Capital and Revenue Settlement Account,Accepted and Rejected Settlement Account,Current and Previous Settlement Account,Outward and inward Settlement Account,D ,,111.
