question,option_a,option_b,option_c,option_d,answer,hint,srno
Match the following  \\n(A ) Major Head/Sub-Major Head  \\n(B) Detailed Head  \\n(C) Minor Head/Sub-Minor Head  \\n(D)Object  \\n(i) Programme/Sub-Programme \\n(ii) Function/Sub-Function \\n(iii) Notes of expenditure on scheme/Sub-Scheme Head \\n(iv)Sub-Scheme,"A-I, B-ii, C-iii, D-iv","A-ii, B-i, C-iv, D-iii","A-ii, B-iv, C-i, D-iii","A-ii, B-iii, C-I, D-iv",C,[Rule: ],11.
Which denotes the object classification,Major Head,Minor Head,Sub-head,detailed Head,D,[Rule: 26 (c)],12.
State Governments have been entrusted with the functions of the Central Government under Article 150 of the Constitution in so far as such functions relate to the opening of sub-heads and detailed heads of accounts under the various Major and Minor heads of Accounts in the State concerned to certain conditions in terms of,Article 256 (1),257 (1),Article 258 (1),259 (1),C,[Rule: Note below 26 (d)],13.
State whether true or false        All sums shall be paid by the Central Government to the State Government concerned in respect of any extra costs of administration incurred by the State in connection with the exercise of the functions so entrusted.,True,False,,,B,[Rule: Note1 (ii) below 26 (d)],14.
The classification of transaction in Government Accounts shall have closer reference to,Function/Programme/Activity,Department/Ministry,Capital and Revenue,Charged and Voted,A,[Rule: 26 (b)],15.
Expenditure on Grants-in-aid to local bodies or institutions for the purpose of creating assets which will belong to these local bodies or institutions cannot ordinarily be classifiable as,Revenue Expenditure,Capital Expenditure,Contingent Expenditure,Misc. Expenditure,B,[Rule: Note below 30 (1)],16.
Pick the incorrect,Expenditure of a capital nature to be classified in the Capital Section shall broadly be defined as expenditure incurred with the object of either increasing concrete assets of a material and permanent character.,Expenditure on a temporary asset or expenditure on Grants-in-aid to local bodies or institutions shall be debited to a capital head of account.,Expenditure of a Capital nature shall be distinguished from Revenue expenditure both in the Budget Estimates and in Government Accounts.,"Capital expenditure is generally met from receipts of a capital, debt, deposit or banking character as distinguished from ordinary revenue derived from taxes, duties, fees, fines and similar items of current income including extra-ordinary receipts.",B,[Rule: 30],17.
Expenditure on a temporary asset or expenditure on Grants-in-aid to local bodies or institutions shall be debited to a capital head of account when authorised specifically by the,President on the advice of CAG,Parliament on the advice of CAG,President on the advice of CGA,Parliament on the advice of CGA,A,[Rule: Note below 30 (1)],18.
The allocation between capital and revenue expenditure on a Capital Scheme for which separate capital and revenue accounts are to be kept shall be determined in accordance with such general or special orders as may be prescribed by,President on the advice of CGA,Parliament on the advice of CAG,President on the advice of CAG,Parliament on the advice of CGA,C,[Rule: 31 (1)],19.
Pick the incorrect one,Capital account should bear all charges for the first construction and equipment of a project as well as charges for intermediate maintenance of the work while not yet opened for service.,Capital accounts would also bear charges for such further additions and improvements as may be sanctioned under rules made by competent authority.,"Revenue account should bear all subsequent charges for maintenance and all working expense e.g. expenditure on the working and upkeep of the project and also on such renewals and replacements and such additions, improvements or extensions as prescribed by Government","In the case of works of renewal and replacement which partake both of a capital and revenue nature, the capital should pay or provide a fund for the adequate replacement of all wastage or depreciation of property originally provided out of capital grants.",D,[Rule: 31 (2) (a) to (c)],20.
Pick the incorrect one,"In the case of works of renewal and replacement which partake both of a capital and revenue nature, the capital should pay or provide a fund for the cost of genuine improvements","Expenditure on account of reparation of damage caused by extraordinary calamities such as flood, fire, earthquake, enemy action, should be charged to Capital account only.","Capital receipts in so far as they relate to expenditure previously debited to Capital heads, accruing during the process of construction of a project, should be utilised in reduction of capital expenditure.","Thereafter, treatment of capital receipt in the accounts will depend on circumstances, but except under a special rule or order of Government, they should not be credited to the revenue account of the department or undertaking.",B,[Rule: 31 (2) (c) to (e)],21.
Net gain by exchange in respect of Government transactions in foreign currencies shall be uniformly adjusted under the head,Functional Major Head,Misc. General Services 0070,Misc. General Services 0075,Civil Deposit 8443,C,[Rule: 32],22.
Net loss by exchange in respect of Government transactions in foreign currencies shall be uniformly adjusted under the head,Functional Major Head,Misc. General Services 0075,Misc. General Services 2075,Misc. General Services 4075,C,[Rule: 32],23.
Receipts on charges pertaining to more than one head of account may be booked in the first instance under,Civil Deposit,Misc. General Services 0070,Misc. General Services 0075,one of the heads concerned,D,[Rule: 33],24.
"State whether true or false        Receipts on charges pertaining to more than one head of account may be booked in the first instance under one of the heads concerned, but the portion creditable or debitable to the other head  or heads involved should be transferred from the former head to the latter before the accounts of the month are closed.",True,False,,,B,[Rule: 33. Before the account of the year and not the month is closed.],25.
"The charges for the supply of water from Irrigation canals are consolidated with the land revenue demand, the recoveries at the consolidated rates are, in the first instance, credited to the head",0029 Land Revenue,0701 Major & Medium Irrigation,0702 Minor Irrigation,8443 Deposit,A,[Rule: 33 (1)],26.
Charges for collection of Corporation Tax are accounted for under,Minus credit 0020,Debit 2020,Minus credit 0021,Debit 2021,B,[Rule: 33 (2)],27.
Receipts and expenditure pertaining to Scheduled Areas in a State are mentioned in,Article 245,Article 246,Article 247,Article 244,D,[Rule: 34],28.
"State whether true or false        Receipts and expenditure pertaining to Scheduled Areas in a State shall be accounted for under separate major and minor heads under which corresponding receipts and expenditure pertaining to other areas of the State are accounted for, as the receipts and expenditure of the former kind have to be shown in the accounts separately from the later.",True,False,,,B,[Rule: 34],29.
Recoveries of overpayments whether made in cash or by deduction from payment vouchers shall always be taken,Misc. Revenue if recovered in the same year before the accounts of the year are closed,as reduction of expenditure under the appropriate expenditure head concerned if recovered in the same year before the accounts of the year are closed,Misc. Revenue irrespective of the year to which such recoveries relate.,as reduction of expenditure under the appropriate expenditure head concerned irrespective of the year to which such recoveries relate.,D,[Rule: 35],30.
Amounts outstanding due to book-keeping errors under heads which close to balance shall be written-off to,8680,2070,2075,8550,A,[Rule: 38],31.
"Where the accounts have been departmentalized or separated from Audit, amounts outstanding due to book-keeping errors under heads which close to balance shall be written-off with the specific approval of",CAG,CGA,Principal Accounts Officer,Chief Accounting Authority,B,[Rule: 38. Power may be delegated to appropriate Accounts authorities.],32.
"Where the maintenance of accounts is responsibility of the CAG, amounts outstanding due to book-keeping errors under heads which close to balance shall be written-off with the specific approval of",CAG,CGA,Principal Accounts Officer,Chief Accounting Authority,A,[Rule: 38],33.
"In all cases where the compilation of account is CAG's responsibility, where it is not possible to establish that unreconciled balances/differences under heads of account which close to balance are either due to book-keeping errors or involve loss/ receipts, the balances/differences may be written-off to 8680 with approval of the",CAG after obtaining concurrence of the Government concerned,Government concerned after obtaining concurrence of the CAG,CAG after obtaining concurrence of the CGA,CGA after obtaining concurrence of the CAG,A,[Rule: 38],34.
"In case where the accounts have been departmentalised or separated from Audit, where it is not possible to establish that unreconciled balances/differences under heads of account which close to balance are either due to book-keeping errors or involve loss/ receipts, the balances/differences may be written-off to 8680 with the approval of the",CGA after obtaining concurrence of the CAG,CAG after obtaining concurrence of the CGA,CGA after concurrence of the Chief Accounting Authority concerned,Chief Accounting Authority concerned after concurrence of the CGA,C,[Rule: 38],35.
"Unreconciled balances or differences between the ledger balances and those of as per the relevant subsidiary registers or Broad-sheets, under any detailed/sub-detailed heads of account relating to any Debt, Deposit, Suspense and Remittance heads in the State Accounts may be written-off by an Accountant General to the head 8680 when the amount",not exceeding Rs. 100/- in each case in any financial year,not exceeding Rs. 500/- in each case in any financial year,not exceeding Rs. 1000/- in each case in any financial year,not exceeding Rs. 5000/- in each case in any financial year,C,[Rule: 38],36.
The above measure of the AG shall be subject to the following except,"the amounts of unreconciled balances or differences are continuing for a period of over five years, in the year in which it is proposed to be written-off.",The Accountant General has satisfied himself that a dead end has been reached in resolving the differences and,The concurrence of the State Government has been obtained for the write-off.,The prior permission of the CAG has been sought before initiating the write off,D,[Rule: 38],37.
