question,option_a,option_b,option_c,option_d,answer,hint,srno
"Pick the correct one i. Responsible for clearance from the Public/Other Nominated (Private Sector) Bank Suspense head, for the figures reported by CAS, RBI regarding balances (total receipt/payment) transferred from RBI offices representing transactions during the month in respect of that Min/Dept. is Principal Accounts Officer ii. Responsible for effecting the necessary agreement of these figures in the Min/Dept. wise balances with the figures under the Reserve Bank Deposits appearing in the monthly account rendered by them to the Office of the CGA is Principal Accounts Officer iii. The final adjustment for transferring the amount from the head '8675-Deposits with Reserve Bank'to'8999-Cash Balance' will be done by the Principal Accounts Officer iv. The responsibility for effecting reconciliation the balance of the Central Government as a whole with Reserve Bank will be that of the Office of the CGA","i, ii and iii","ii, iii and iv","i, ii and iv (CGA)",All of the above,C ,,13.
The rules governing allocation between capital and revenue expenditure may be prescribed by the,President on the advice of the CAG,CAG on the advice of the President,CGA on the advice of the CAG,CAG on the advice of the CGA,A ,,14.
"Pick the correct one (i) All charges for the first construction and equipment of a project as well as charges for intermediate maintenance of the work while not yet opened for service should be borne by the capital (ii) In the case of works of renewal and replacement which partake both of a capital and revenue nature, such expenditure should be borne by both Capital and Revenue in accordance with rule extant on the subject (iii) Capital receipts in so far as they relate to expenditure previously debited to Capital heads, accruing during the process of construction of a project, should be accounted for reduction of capital expenditure (iv) Capital receipts after opening of the project shall be treated as Capital and shall not be taken to revenue account except under a special rule or order of Government","i, ii and iii","ii, iii and iv","i, ii and iv (CGA)",All of the above.,D ,,15.
"Where a Depreciation or Renewals Reserve Fund is established for renewing assets of any commercial department or undertaking, the expenditure on renewals and replacements should be borne by",Depreciation/Renewal Account,Capital Account,Both Depreciation/Renewal & Capital Account,Neither Depreciation/Renewal nor Capital Account,C ,,16.
Pick the incorrect one,"In theory, it is legitimate to make capital bear the charges for interest on money borrowed to finance the construction of a new project before the project becomes revenue earning.",The charge of interest to capital in Govt. accounts is justified only when there would be undue disturbance in the Govt.’s budgetary position by taking interest to revenue,The writing back of capitalised interest should be the first charge on any capital receipts or surplus revenues derived from a project when commissioned,None of the given,D ,,17.
The capital expenditure met from sources other than revenue being described as,Capital Outlays,Loan Outlays,Revenue Outlays,Contingency Outlays,A ,,18.
"According to the sources from which they are funded, Reserves or Reserve Funds in Government Accounts may be classified into",5 categories,2 categories,3 categories,4 categories,C ,,19.
"Where reserves are created out of the grants or out of moneys set aside by the Union or State Government from the Consolidated Fund, the transfers to and the expenditure from the reserves require the approval of the",President,Parliament,President of the advice of the CAG,Government on the advice of CAG,B ,,20.
Reserve Funds are located within,Public Fund,Consolidated Fund,Public Account,Contingency Fund,C ,,21.
"The value of materials, equipment and other commodities received from foreign countries etc.as aid, without involving any cash inflow or outflow should be accounted under the major head",Cr-1606 and Dr-3606,Cr. 1606 and Dr. 8675,Cr 8658 and Dr. 8675,Cr. 8658 and Dr. 3606,A ,,22.
Cash grant received from outside external/foreign sources are to be accounted for only by the,"Controller of Aid Accounts and Audit, Department of Economic Affairs","Controller of Aid Accounts and Audit, Department of Expenditure","Controller of Aid Accounts and Audit, Department of Revenue",Controller of Aid Accounts and Audit of the concerned Ministry/Department,A ,,23.
The Major Head under which cash grant received from outside external/foreign sources is accounted for,Regular revenue Head of the recipient Ministry/Department,Regular revenue Head of the recipient Ministry/Department and where no regular revenue head exists 0070,0075 whether a regular revenue head exists or not,1605 whether a regular revenue head exists or not,D ,,24.
"In the absence of a stay of execution of the decree, the Deposit should be deemed to be in satisfaction of the decree. If, however, deposit of the decretal amount under orders of the Appellate Court, the payment made in pursuance of the said order is treated as",Charged Expenditure,Deposit,Partly charged and partly deposit,Either charged or deposit as decided by the govt.,B ,,25.
"In cases of arbitral awards/decrees against State Govt. in disputes arising out of the acquisition of land, buildings and property for Union purposes will be charged to",Consolidated Fund of India,Consolidated Fund of State,both consolidated fund of India and State concerned,Initially it will be charged to Consolidated Fund of State and when reimbursed by the Union Govt. it will be charged to the Consolidated Fund of India,B ,,26.
"Pick the correct one i. Where a Court award is for a composite amount which is not capable of being split up as ""Refunds of Revenue"" and ""Other Expenditure"", the entire amount of decree will be accounted for as charged expenditure ii. Where an award is exclusively for the refund of security deposit or other revenue, the refund should be treated as charged expenditure iii. Where an award imposes an obligation to make a recurring payment, every recurring payment including those beyond the date of the award would be expenditure charged on Consolidated Fund iv. A Pension will either be wholly charged or wholly voted and the fact the same is allocable between different Govt. or Departments, service under one or more of which does not by itself qualify for a ""Charged"" pension, should not make any difference.","i, ii and iii","ii, iii and iv","i, iii and iv",All of the above,C ,,27.
Permissible corrections to balances of earlier years in cases other than cases eligible for writes-off of balances from DDR Heads closed to balance and classification thereof in accounts is known as,Proforma Correction,Write Off,Abstract Correction,Detailed Correction,A ,,28.
For initiating any proforma correction approval with full justification is required from,Chief Accounting Authority concerned,CGA,CAG,Financial Advisor,B ,,29.
"State whether true or false For Change of Classification, decision may be taken by Government in consultation with the Budget Division and Controller General of Accounts on the advice of the CAG",True,False,,,A ,,30.
Certain increases or decreases in the opening balances of heads of accounts exclusively operated by them without routing the adjustments through the monthly accounts or the Statement of Central Transactions of the year for which the Finance Accounts are under preparation may be effected by,Defence and Home Affair,Railway & Post and Telecommunication,"Defence, Railway & Post and Telecommunication","Railway Board and Controller Aid, Account and Audit",D ,,31.
Pick the correct one,Conversion of Grants in aid to Loans and vice-versa given during any earlier financial year to a State Govt. or U.T. Govt. into a loan or conversion of a loan given earlier into Grant-in-aid with retrospective effect is done through proforma Correction.,"The raising or lowering down of balances under the two Minor Heads ""Advances for purchase of other conveyances"" and ""Other advances"" wherever necessary, may be done by Pay & Accounts Officer in consultation with the Pr. AO",Both A&B,None of the given,A ,,32.
Central Pension Accounting Office was set up on,1st April 1991,1st January 1991,1st January 1990,1st April 1990,C ,,33.
"The head of office will furnish a certificate to the Govt. servant regarding the length of qualifying service, emoluments and average emoluments proposed to be reckoned for pension and retirement gratuity payments, before the date of retirement",6 months,10 months,12 months,3 months,B ,,34.
"Pick the correct one i. The employee should make representations, if any, with regards to certificate of qualifying service, emoluments and average emoluments furnished to him before his retirement with a period of 15 days of receiving such certificate ii. The period by which the Head of Office has to forward the pension papers to the PAO not later than six months before the date of retirement of the Govt. servant iii. The Head of Office after ascertaining and assessing the dues against the Government servant, shall furnish their details to the PAO, one month in advance of his/her retirement iv. While checking of the correctness of past emoluments in pension papers, the check should in any case not go back to a period earlier than a maximum of 24 months preceding the date of retirement.","i, ii and iv","ii, iii and iv","i, ii and iii",All of the above,A ,,35.
The final responsibility of the correctness of calculations and authorization of admissible pension rests with,Head of Office,Head of Department,Pay & Accounts Officer,Central Pension Accounting Officer,C ,,36.
The PAO should issue the pension payment order/authorization at least in advance of retirement of the Government servant,one week,15 days,45 days,one month,D ,,37.
Pick the correct one,CPAO furnishes to each PAO annually a list of running serial numbers to be allotted to Pension Payment Orders to be issued by them during the next calendar year (Jan to Dec) in the first fortnight of November,The PAO intimates the details of unused frozen numbers to the CPAO by the end of March,Both A&B,None of the given,A ,,38.
Pick the correct one i. Each PPO comprises of 12 digits ii. First 5 digits of a PPO reflect the PAO code number iii. Digit number 6 & 7 reflect the year of issue iv. Digit 8 to 11 reflect the sequential number of a PPO,"i, ii and iii","ii, iii and iv","i, iii and iv",All of the above,D ,,39.
The CPAO dispatches the PPO to Link Branch of the Bank by,10th of the month of retirement,7th of the month of retirement,20th of the month of retirement,15th of the month of retirement,C ,,40.
PPOs of the High Courts’ Judges are issued by,"PAO, Ministry of Law & Justice",AG of the State concerned,"PAO, Supreme Court","PAO, Ministry of Home Affairs",B ,,41.
PPOs to Central Freedom Fighter are issued by the,"PAO, Ministry of Law & Justice",AG of the State concerned,"PAO, Social Justice & Welfare","PAO, Ministry of Home Affairs",D ,,42.
The pension disbursing PAO will prepare a schedule of payments of pensioners desire to draw pension through PAO or Money Order and send the same to the CPAO by,10th of each month.,3rd of each month.,7th of each month,15th of each month.,A ,,43.
A switch over of payment channel of pension is not permissible,Treasury to Bank,Bank to Treasury,PAO to Bank,One PAO to another of same Min/Dep.,B ,,44.
"Where a Government Servant rendered service under more than one department in the Government of India, including Railways, P&T and Defence Department as well as Union Territory Governments, the liability for pension charges will be borne by",The Department from where the Govt. servant retired,The department where the Govt. servant has served the major period of his/her service,The Department to which the Government Servant permanently belongs at the time of retirement,All the department proportionately,C ,,45.
The liability on account of pensionary benefits of All India Service Officers will be borne by the,Respective Ministry/Department of the Union Government,State government on whose cadre they are borne,Both Union Government and State government on whose cadre they are borne in the ratio of 25:75,Either Union government or State government on whose cadre they are borne as desired by the Govt. Servant,B ,,46.
The colour of Special Seal Authority (SSA) issued by the CPAO in respect of pension of All India Service officer will be,Pink,Red,Black,Blue,D ,,47.
Major Head to the charges on account of Swatantrata Sainik Samman Pension Scheme is,2235,2071,2250,2070,A ,,48.
"The payment of pension may be made by postal money order at the option of the pensioners, where the amount of monthly pension including relief on pension does not exceed",? 1000/-,? 1500/-,? 2000/-,? 500/-,C ,,49.
Pick the correct one i. The cost of money order forms purchased for disbursement of pension purpose may be debited to the Major Head 2071 ii. Account of the M.O. forms will be submitted to the PAO on 15th of the each month iii. The stock of the M.O forms will be verified half-yearly in April and October iv. Half yearly stock verification report of M.O forms should be submitted to CA/Dy.CA,"ii, iii and iv","i, ii and iv","i, ii and iii",All of the above,B ,,50.
In respect of pensions through Postal Money Order for the Month of March remittance should be arranged on or after the 1st day of April but not later than,5th April,10th April,12th April,7th April,B ,,51.
In respect of pensioners who have not submitted a certificate for drawing pension through M.O the charges of remittances will be deducted from the amounts of pension if the pension exceeds,? 500/-,? 1000/-,? 2000/-,? 1500/-,A ,,52.
The charges for the payment of pension to the retired High Court Judges are to be borne by the respective State Governments,Article 275,Article 289,Article 290,Article 292,C ,,53.
"The payment of Family Pension to ICS Family Pension Fund (Transferred) will be arranged by the PAO, Department of Economic Affairs, New Delhi by operating the Major Head",8658,8680,8678,8679,D ,,54.
Transactions arising in the accounts of the PAO which are adjusted by the accounts officer of another government/department on cash settlement basis shall be accounted under,8675-PAO Suspense,8658-PAO Suspense,8786-PAO Suspense,8782-Other Remittance,B ,,55.
Outward Claims Settlement Register is maintained in,CAM 53,CAM 55,CAM 56,CAM 54,A ,,56.
"Recoveries on account of Provident Fund or loans and advances in respect of other than Central (Civil) Min/Dept., will be",Booked to final head,"initially booked under PAO Suspense head, and then cleared by remittance of cheque/draft as per the prescribed procedure.","initially booked under PAO Suspense head, and then cleared by issuing advice to CAS, RBI",Any of the above with mutual consent of Ministries/Departments involved,B ,,57.
Recovery made from pay bill towards Provident Fund subscription adjustable in the books of another Accounts Officer will be accounted for as,Dr.8670 and Cr-8009,Dr.8009 and Cr.8658,Cr.8670 and Dr. 8658,Dr.8670 and Cr 8658,D ,,58.
Pick the correct one,The PAOs may directly raise the Outward claims that require to be settled with State Accountants General.,"The outward claims of State Accountants General which as a special arrangement are required to be settled with PAOs, may be routed through the concerned Principal Accounts Office, except those relating to expenditure etc on National Highway",Both A&B,None of the given,C ,,59.
"Normally, reimbursement of transactions arising during a month, or last week of a month in the case of Supply Department, is claimed by the",First week of the following month,First fortnight of the following month,end of the following month,end of the quarter following the month of transaction,A ,,60.
"All the Accounts Officers in Civil Ministries, State AG Railways, Defence, P&T should endeavour to settle transactions arising during March, by raising debits duly supported with vouchers and schedules  etc against the Accounts Officers concerned as",raising debits at weekly intervals,raising debits at daily basis,"raising debits at weekly intervals for transactions took place during first 3 weeks and for transactions on or after 25th of March of the year, by a telegraphic/fax",raising debits monthly but submission on or before 3rd of the following month.,C ,,61.
"Since payments against telegraphic/fax intimations made by one Accounts Officer to another are envisaged to be made even where details are not received by the responding Accounts Officers, but supporting documents shall be despatched by speed post on or before",3rd of the following month,10th of the following month,7th of the following month,12th of the following month,B ,,62.
Pick the incorrect one,"Where one Ministry /Department utilizes the services of another Central Ministry /Department as an executing agency, the CGA issues annual budget allocation letter",A copy of such sanction has to be endorsed to the Accounts Officer of the functional department to enable him to keep a note of this in the Expenditure Control Register maintained by him.,The PAO of the executing Ministry will book the expenditure under the relevant expenditure head against the Demands for Grants of the functional Min/Dept. and furnish the monthly and progressive figures of expenditure to the Pr. Accounts Office of the functional Min/Dept.,None of the given,A ,,63.
Pick the correct one,The expenditure incurred by the Divisional Officers on behalf of other Civil Min/Dept. for which provision has not been made under the Grants of C.PW.D. will be booked directly under the final head,"The expenditure incurred on behalf of non-civil Ministries / other Governments will be booked under the Suspense head ""8658-Suspense Accounts-107-Cash Settlement Suspense Account.",Both A&B,None of the given,C ,,64.
"The claim for reimbursement of monthly expenditure will be made simultaneously by the Division against the concerned Accounts Officer of the non-civil Min/Dept. or Accountant General of the State, as the case may be should be settled within",one month of receipt,a week of receipt,a fortnight of receipt,as soon as possible,B ,,65.
Responsible to watch the realisation of the payments from the concerned PAO/State AG to clear the suspense head in a Division books,Divisional Officer,PAO,Divisional Officer & PAO jointly,Recipient Divisional Officer & PAO jointly,A ,,66.
Pick the incorrect one,8787-Adjusting of Account with Railways,8788-Adjusting of Account with Posts,8789-Adjusting of Account with Defence,8790-Adjusting of Account with Telecommunications,D ,,67.
Major Head for Adjusting of Account between Central and State Governments is,8784,8786,8678,8793,B ,,68.
"Authorised to recover the cost of stores for which they initially made payments by issuing advice to CAS, RBI",CCA of Department of Supply,PAOs of Branch Offices of Department of Supply,Both CCA & PAOs of Department of Supply,None,C ,,69.
"The PAO, Supply, will send advices to CAS, RBI Nagpur, and send a copy of the advice duly supported with vouchers and other necessary details to the Accounts Officers of the Department of the consignee concerned on a",monthly basis,quarterly basis,weekly basis,fortnightly basis,C ,,70.
"The Department of Supply shall ensure that advices for the transactions during the close of a financial year are sent telegraphically to the Central Accounts Section, Nagpur, so as to reach them by the",15th of April or such date as prescribed by the RBI,7th of April or such date as prescribed by the RBI,12th of April or such date as prescribed by the RBI,10th of April or such date as prescribed by the RBI,A ,,71.
"In respect of payments made abroad by the Indian Missions, which require cash settlement with other accounts authorities, the Disbursing Officers should send to the","PAO, Ministry of External Affairs","PAO, Department of Economic Affairs","PAO, Department of Expenditure",PAO of Division Concerned,A ,,72.
Pick the correct regrading conditions for proforma adjustment,"Cases in which normal mode of settlement is through RBI, CAS, Nagpur i.e. settlement between Railways, P&T and Defence departments inter-se and settlement between Railways and CCA, DEA could not be effected before 15th April or as per date specified by RBI.",Aggregate amount of the transactions to be adjusted between the accounting units is Rs. 5 lakhs and above (gross credit or gross debit).,"The proposal reaches the CGA before the prescribed date, in terms of the schedule for closing of annual accounts laid down by him/her",All of the above,D ,,73.
Pick the correct one,Monetary settlement will not be resorted for transactions on account of supplies made or services rendered by one Government to another for claims up ? 1000/- in each case,"Claims relating to commercial departments/undertakings of a Government, monetary settlement will be carried out, irrespective of the amount involved through cheque/DD",Both A&B,None of the given,C ,,74.
"Min/Dept. of Central Government will arrange payment of loans and grants-in-aid as well as payment of States' share of income tax, Union excise duty,  etc through",CGA,their Principal Accounts Officer,their Financial Advisor,"Budget Division, Department of Economic Affairs",B ,,75.
"The Principal Accounts Offices will arrange to credit the balance of State Government by debit to their Min/Dept. accounts through CAS, RBI by",Dr-Final Head (3601/3602/7601 etc.) and Cr-8658 RBI Suspense,Dr- 8658 RBI Suspense and Cr-Final Head (3601/3602/7601 etc.),Dr. 8658-RBI Suspense and Cr. 8675-RBI Deposit,Dr. 8675-RBI Deposit and Cr. 8658-RBI Suspense,A ,,76.
Repayment of loans and payment of interest on it by the State Governments for loans received from the Government of India will be arranged by the State AG or the Chief Accounting Authority of the State,by cash settlement (Cheque/Draft),"though advice to CAS, RBI",Both A&B,Either A or B as per the term of the loan,B ,,77.
Pick the correct one,The AG of States are not normally authorised to debit the Central Government by sending advices to the RBI,"AG can withdraw amount erroneously credited to Central Govt. an account of repayment of loans and interest in an earlier advice by sending supplementary advice to CAS, RBI with a requisite certificate in this regard",It is also certified that withdrawn are being furnished to Chief Controller of Account/Principal Accounts Officer of Central Min/Dept. concerned,All of the above,D ,,78.
Responsible for maintenance of detailed accounts of the loans sanctioned by the Central Government to the State Governments and watching the recovery of instalments of principal and interest is,Chief Accounting Authority,PAO,Principal Accounts Officer,All of the above,C ,,79.
The income tax recoveries effected from the bills paid by the treasuries/State Govt./HQ PAO/State Government departmental office rendering compiled accounts to the AG shall be classified under 8658-TDS Suspense in,State Section of Accounts,Central Section of Account,Fund Section of Account,Either Central or State Section of Account,A ,,80.
The claim for reimbursement on account of Payment of interest on Central Government securities at State Treasuries shall be settled by,Pr. AO (Department of Expenditure),Pr. AO (Department of Economic Affair),CGA,"CAS, RBI",B ,,81.
"Pick the correct regarding transaction on account of National Highways i. The Executive Engineers of the State PWD will incur the expenditure out of State balances, and then incorporate it in the monthly compiled accounts submitted to the State AG ii. The AG State will booked the transaction under the major head for subsequent re-imbursement from National Highway though cash settlement (Cheque/DD) under 8658-PAO (NH) iii. The PAO (NH) shall settle the claim relating to the first three weeks of March without insisting on the vouchers, by payment through cheque as usual. iv. For the expenditure incurred during the fourth week of March, the AG by will send a telegraphic/fax advice to PAO (NH) 29th or 30th of March.","i, iii and iv","ii, iii and","i, ii and iv",All of the above,D ,,82.
The claim of National highways pertaining to March residual for reimbursement along with all the vouchers and supporting documents for the entire claim of March shall be preferred by the A.G to PAO (NH) by,15th April,10th April,21st April,the end of the April,A ,,83.
"Due to late receipt of monthly compiled accounts in AG, a system was put into use under which payments will be released to State/UT in quarterly instalments, on the formal sanctions issued by the Ministry of Road Transport & Highways is known as",Advance Payment System,On Account Payment System,Deferred Payment System,Proforma Payment System,B ,,84.
The cheque for agency charges for executing the work of National Highways along with schedule showing the details of the bills will be sent by RPAO directly to the State AG for credit to the accounts of the State Government on a,Weekly basis,monthly basis,fortnightly basis,quarterly basis,C ,,85.
"Pick the correct one i. Even though the UT Governments with legislature have separate Consolidated Funds of their own, they do not have separate balances with the Reserve Bank of India ii. The payment by issuing advice to RBI does not apply to them, and settlement in cash will be followed for the payment of loans and grants, repayment of loans and payment of interest iii. The Min/Deptt. of the Government of India will address the sanctions relating to payment of grants/loans to the UT Governments with Legislature, to their Pr. AO with a copy to the concerned Finance Secretary and Accounts Officer/Director of Accounts of the UT Govt. iv. Loan or grant when over Rs. 5 crore, the Pr. AO of the Min/Dep sanctioning the loan or grant will advise RBI, New Delhi, to transfer the amount by telegraphic transfer to the bank account of the concerned UT Govt. at their headquarters.","i, ii and iv","i, ii and iii","ii, iii and iv",All of the above,B ,,86.
Pick the incorrect one,Government of India does not give Loans or grants to the Union Territory Administration under the Major head 3601,Instead budget provision is made by the Min/Dept. under the relevant functional major heads in the Revenue and Capital sections of the Demands for Grants.,"In the case of UT Administrations whose accounts have already been separated, the PAO of the concerned Central Ministry / Department will book the expenditure directly against the Demands for Grants of the Min/Dept.",None of the given,D ,,87.
Payment of loans and advances to parties other than State/U.T. Governments and Administrations shall be made a bill on a simple receipt in a form similar to form,GAR 28,GAR 33,GAR 34,GAR 38,C ,,88.
"Pick the correct one i. Normally, the repayment of a loan shall begin on the day of completion of one year from the date of its drawing, ii. Repayment of loan and interest thereupon will be paid through specified number of equal monthly instalments of principal. iii. While the Government may sanction/allow suitable moratorium period for repayment of principal, no such moratorium period shall be allowed for payment of interest. iv. If the due date for repayment of instalment of principal or interest on a loan falls on Sunday or any other holiday, no interest will be charged for such days, if the recovery is postponed on this account except when falling on 31st March, the due date will the previous day.","i, iii and iv","ii, iii and iv","i, ii and iv",All of the above,A ,,89.
"Pick the correct one i. Grants-in-aid are of two types-General and Specific ii. No conditions are attached to grants for general purposes and the lump sum amount sanctioned by Government are paid to local bodies and hence no utilisation certificate is required by the PAO iii. Grants for specified purposes should on normally be utilised within one year after the date of issue of the sanction and accordingly the utilization certificate should also ordinarily be due after a period of 12 months from the date of sanction of the grant iv. Where the expenditure is incurred out of the Central grants, by the State Govt. directly UC not required","i, ii and iii","i, iii and iv","i, ii and iv",All of the above,D ,,90.
"Where expenditure is incurred by the State Governments through local bodies or private institutions, the requisite UC should be submitted by",local bodies or private institutions,the State Government concerned,either by the local bodies or private institutions or the State Government concerned,No UC is required,B ,,91.
Register of Grant-in-aid is maintained by PAO in,CAM 24,CAM 26,CAM 28,CAM 30,C ,,92.
The period for the repayment of loans should be fixed with due regard to the purpose for which they are advanced and it should be restricted to the minimum possible generally not exceeding,10 years,30 years,20 years,15 years,D ,,93.
"Where a longer period than 15 years for repayment is sought, prior concurrence should be taken from",CGA,"Budget Division, Department of Economic Affairs",President,"Finance Division, Department of Expenditure",B ,,94.
In no case the period of the loan should exceed,30 years,25 years,20 years,50 years,A ,,95.
"Block loans for State Plan Schemes and other Plan loans (including loans for Centrally Sponsored Schemes) but excluding loans for relending to industrial and commercial undertakings and individuals, when drawn in instalments, will be consolidated and deemed to have been drawn in each year as on",1st January,1st April,1st July,1st October,D ,,96.
The amounts annually payable by way of principal and interest would be recovered in,One annual instalment,two equal half-yearly instalments,two monthly instalments,four equal quarterly instalments,D ,,97.
"Pick the correct one i. Small Savings Loans advanced during the year will be consolidated as on 1st October each year. ii. The period of the loans will be 20 years and towards repayment of principal includes an initial moratorium of 5 years towards the repayment of interest iii. On expiry of the period of moratorium (5 years), the loans will be recovered in 20 annual equal instalments, payable in four equal instalments on the 1st of July, October, January and March each year. iv. The period of moratorium to PSUs should not extend in any case, beyond two years from the date of project going into production, or in the case of programmes of expansion, beyond two years from the date of expanded project coming into operation.","i, ii and iii","i, iii and iv","ii, iii and iv",All of the above,B ,,98.
Pick the correct one,Request from PSU for funds for meeting working capital requirements should be considered only to the extent the same cannot be had from the State Bank of India/Nationalised Banks,"The period of repayment of working capital loans should preferably be restricted to two or three years. In no case, however, the period of these loans should exceed 10 years",Both A&B,None of the given,A ,,99.
"In case of default, the higher/penal rate of interest above the normal rate of interest at which a loan is sanctioned should not be less than",2.75 percent,2.5 percent,2 percent,2.25 percent,A ,,100.
Waiver of recovery of interest at penal rate shall only be granted by an adequate level after obtaining advice of the,PAO,Pr. AO,Financial Advisor,CGA,C ,,101.
"Even a waiver of interest at penal rate is sanctioned, a minimum that should be recovered from the defaulting party as penalty",½ percent,¼ percent,1 percent,1 ½ percent,B ,,102.
A monthly report of defaults of principal & Interest should be sent by Min/Dept. by the end of the month following the month to which the transactions relate to,Finance Division,Expenditure Division,Loan & Advances Division,Budget Division,D ,,103.
"Pick the correct one (i) In the case of a loan of which repayment has already commenced the revised rate of interest should be applied ad initio only to residuary portion of the loan outstanding on the date of extension of its period (ii) In cases where loans are to be sanctioned at a concessional rate, payment of Subsidy (Normal interest-concessional interest) should be made condition upon prompt repayment of principal and payment of interest thereon by the borrower. (iii) The date of drawal of loan by the borrower will be date on which he received cash, cheque or bank draft from the drawing and disbursing officer (iv) Where the cheque or bank draft is sent through post, the date of posting should be treated as the date of disbursement of the loan","I, ii and iii","ii, iii and iv","i, iii and iv",All of the above,D ,,104.
Auditor's presentation of the general accounts of the Government to Parliament is,Appropriation Accounts,Finance Accounts,Both Appropriation and Finance Account,Auditor’s Report,B ,,105.
"State whether true or false Finance Account of the Central Government comprises of the accounts of the Central Government as a whole and includes transactions of Civil Min/Dept., Ministries of Defence and Railways and the Departments of P&T.",True,False,,,A ,,106.
The Personal Deposit Account shall be authorised to be opened by a special order by the concerned Min/Dept. (Pr. AO) in consultation with,Financial Advisor,CGA,Chief Accounting Authority,CAG,B ,,107.
No withdrawal from Public Deposit Accounts resulting in a minus balance therein will be ensured by,Administrator of Fund,PAO concerned,Bank,Pr. Accts officer,C ,,108.
"The Government Account, within which a Personal Deposit Account is located, is",Consolidated Fund,Public Account,Contingency Fund,Any of the given,B ,,109.
"Where work relating to payment  etc of a PDA is entrusted to an Administrator or the PDA holder, whether or not the initial accounts, vouchers  etc shall be subject to post check by the concerned PAO may be determined by",Pr. CCA/CA,Financial Advisor,CGA,Chief Accounting Authority,D ,,110.
Pick the correct one,"Where post check is required to be exercised by the PAO the Deposit Accounts holder shall furnish the detailed monthly account along with vouchers in support of the lump withdrawals/deposits made during each month, to the concerned PAO","Where post check is not required to be exercised, the PAO will confine its check to the transactions of withdrawals from the account to see that they do not exceed the balance at the credit of the account.",Both A&B,None of the given,C ,,111.
"In cases work of payment  etc relating to a PD Account may be entrusted to the PAO himself on behalf of administrator of the fund, the responsible to examine the correctness of the receipts credited into the PD Account will be",the administrator,the PAO,the administrator and the PAO jointly,Bank,A ,,112.
Pick the incorrect one,"In the first week of every month, PAO shall furnish to the administrator of fund, a monthly account showing the opening balance, receipts, payments and closing balance of the transactions at the end of the previous month",The PAO will also be responsible for the preparation of budget estimates and revised estimates in regard to the receipts and payments under the PD Account in consultation with the administrator of the fund and furnishes it to Principal Accounts Officer in the month of November,PD Account shall be subjected to scrutiny by the internal Audit Wing functioning under respective Ministry/Department,None of the given,B ,,113.
In the PWD system Cash Remittances & adjustments between Officers rendering accounts to the same Accounts Officer is operated to record transactions of Public Works Officers with Treasury and Other Officers of the Civil Departments within the same circle of Account,8670-101,8670-102,8782-101,8782-102,D ,,114.
